# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 73028.065 ops/s
# Warmup Iteration   2: 78332.939 ops/s
# Warmup Iteration   3: 80082.733 ops/s
# Warmup Iteration   4: 80891.430 ops/s
# Warmup Iteration   5: 78933.716 ops/s
# Warmup Iteration   6: 78927.672 ops/s
# Warmup Iteration   7: 80880.147 ops/s
# Warmup Iteration   8: 80668.592 ops/s
# Warmup Iteration   9: 80754.406 ops/s
# Warmup Iteration  10: 80852.978 ops/s
# Warmup Iteration  11: 80662.894 ops/s
# Warmup Iteration  12: 80647.125 ops/s
# Warmup Iteration  13: 80598.753 ops/s
# Warmup Iteration  14: 80694.519 ops/s
# Warmup Iteration  15: 80773.068 ops/s
# Warmup Iteration  16: 80765.658 ops/s
# Warmup Iteration  17: 80734.891 ops/s
# Warmup Iteration  18: 80367.361 ops/s
# Warmup Iteration  19: 80738.482 ops/s
# Warmup Iteration  20: 80354.176 ops/s
Iteration   1: 80509.721 ops/s
Iteration   2: 80472.754 ops/s
Iteration   3: 79983.437 ops/s
Iteration   4: 80661.829 ops/s
Iteration   5: 80642.581 ops/s
Iteration   6: 80589.865 ops/s
Iteration   7: 80437.542 ops/s
Iteration   8: 80052.457 ops/s
Iteration   9: 79351.372 ops/s
Iteration  10: 80656.184 ops/s
Iteration  11: 80629.214 ops/s
Iteration  12: 80506.214 ops/s
Iteration  13: 80015.866 ops/s
Iteration  14: 80617.442 ops/s
Iteration  15: 80392.034 ops/s
Iteration  16: 79075.430 ops/s
Iteration  17: 80496.506 ops/s
Iteration  18: 79937.619 ops/s
Iteration  19: 80634.713 ops/s
Iteration  20: 80636.132 ops/s

# Run progress: 2.50% complete, ETA 00:26:14
# Fork: 2 of 10
# Warmup Iteration   1: 78913.820 ops/s
# Warmup Iteration   2: 84155.195 ops/s
# Warmup Iteration   3: 85177.821 ops/s
# Warmup Iteration   4: 85466.517 ops/s
# Warmup Iteration   5: 85511.389 ops/s
# Warmup Iteration   6: 85443.543 ops/s
# Warmup Iteration   7: 84931.443 ops/s
# Warmup Iteration   8: 85576.338 ops/s
# Warmup Iteration   9: 85545.794 ops/s
# Warmup Iteration  10: 85086.507 ops/s
# Warmup Iteration  11: 85454.864 ops/s
# Warmup Iteration  12: 84812.474 ops/s
# Warmup Iteration  13: 85588.723 ops/s
# Warmup Iteration  14: 85497.215 ops/s
# Warmup Iteration  15: 85477.397 ops/s
# Warmup Iteration  16: 85332.199 ops/s
# Warmup Iteration  17: 84815.911 ops/s
# Warmup Iteration  18: 85390.334 ops/s
# Warmup Iteration  19: 85415.651 ops/s
# Warmup Iteration  20: 85310.349 ops/s
Iteration   1: 85317.210 ops/s
Iteration   2: 84663.611 ops/s
Iteration   3: 85491.406 ops/s
Iteration   4: 85387.219 ops/s
Iteration   5: 85371.262 ops/s
Iteration   6: 84989.234 ops/s
Iteration   7: 84721.416 ops/s
Iteration   8: 85399.755 ops/s
Iteration   9: 85344.068 ops/s
Iteration  10: 85283.329 ops/s
Iteration  11: 85357.306 ops/s
Iteration  12: 85129.091 ops/s
Iteration  13: 85339.030 ops/s
Iteration  14: 85430.231 ops/s
Iteration  15: 85453.569 ops/s
Iteration  16: 85395.022 ops/s
Iteration  17: 85206.507 ops/s
Iteration  18: 85065.553 ops/s
Iteration  19: 85595.852 ops/s
Iteration  20: 81682.024 ops/s

# Run progress: 5.00% complete, ETA 00:25:31
# Fork: 3 of 10
# Warmup Iteration   1: 74843.304 ops/s
# Warmup Iteration   2: 79611.844 ops/s
# Warmup Iteration   3: 80302.088 ops/s
# Warmup Iteration   4: 80196.898 ops/s
# Warmup Iteration   5: 80315.365 ops/s
# Warmup Iteration   6: 80510.686 ops/s
# Warmup Iteration   7: 80079.360 ops/s
# Warmup Iteration   8: 80406.983 ops/s
# Warmup Iteration   9: 80484.891 ops/s
