# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 78905.738 ops/s
# Warmup Iteration   2: 82308.748 ops/s
# Warmup Iteration   3: 81380.436 ops/s
# Warmup Iteration   4: 81784.095 ops/s
# Warmup Iteration   5: 82104.048 ops/s
# Warmup Iteration   6: 81902.488 ops/s
# Warmup Iteration   7: 81604.516 ops/s
# Warmup Iteration   8: 81882.843 ops/s
# Warmup Iteration   9: 81721.438 ops/s
# Warmup Iteration  10: 80856.880 ops/s
# Warmup Iteration  11: 81848.062 ops/s
# Warmup Iteration  12: 81967.350 ops/s
# Warmup Iteration  13: 81827.040 ops/s
# Warmup Iteration  14: 82032.529 ops/s
# Warmup Iteration  15: 82079.466 ops/s
# Warmup Iteration  16: 81974.035 ops/s
# Warmup Iteration  17: 81949.855 ops/s
# Warmup Iteration  18: 81786.297 ops/s
# Warmup Iteration  19: 81962.057 ops/s
# Warmup Iteration  20: 81870.692 ops/s
Iteration   1: 81917.042 ops/s
Iteration   2: 81722.990 ops/s
Iteration   3: 81677.614 ops/s
Iteration   4: 81858.367 ops/s
Iteration   5: 81942.943 ops/s
Iteration   6: 81912.092 ops/s
Iteration   7: 81732.338 ops/s
Iteration   8: 81703.450 ops/s
Iteration   9: 81889.964 ops/s
Iteration  10: 81924.538 ops/s
Iteration  11: 81958.294 ops/s
Iteration  12: 82030.965 ops/s
Iteration  13: 81855.671 ops/s
Iteration  14: 81954.085 ops/s
Iteration  15: 81920.143 ops/s
Iteration  16: 81911.465 ops/s
Iteration  17: 81935.141 ops/s
Iteration  18: 81438.830 ops/s
Iteration  19: 82061.710 ops/s
Iteration  20: 81958.536 ops/s

# Run progress: 2.50% complete, ETA 00:26:13
# Fork: 2 of 10
# Warmup Iteration   1: 74642.665 ops/s
# Warmup Iteration   2: 79807.433 ops/s
# Warmup Iteration   3: 80214.425 ops/s
# Warmup Iteration   4: 80171.903 ops/s
# Warmup Iteration   5: 80409.991 ops/s
# Warmup Iteration   6: 80407.252 ops/s
# Warmup Iteration   7: 80355.203 ops/s
# Warmup Iteration   8: 79800.800 ops/s
# Warmup Iteration   9: 80525.782 ops/s
# Warmup Iteration  10: 80168.754 ops/s
# Warmup Iteration  11: 80371.055 ops/s
# Warmup Iteration  12: 80201.832 ops/s
# Warmup Iteration  13: 79583.343 ops/s
# Warmup Iteration  14: 80258.309 ops/s
# Warmup Iteration  15: 80353.019 ops/s
# Warmup Iteration  16: 80365.340 ops/s
# Warmup Iteration  17: 80161.575 ops/s
# Warmup Iteration  18: 79618.691 ops/s
# Warmup Iteration  19: 80317.941 ops/s
# Warmup Iteration  20: 80160.411 ops/s
Iteration   1: 80334.346 ops/s
Iteration   2: 80285.960 ops/s
Iteration   3: 79923.657 ops/s
Iteration   4: 80365.953 ops/s
Iteration   5: 80172.230 ops/s
Iteration   6: 80322.289 ops/s
Iteration   7: 80090.567 ops/s
Iteration   8: 79348.323 ops/s
Iteration   9: 80273.821 ops/s
Iteration  10: 80146.505 ops/s
Iteration  11: 80202.105 ops/s
Iteration  12: 78804.963 ops/s
Iteration  13: 79787.708 ops/s
Iteration  14: 79039.195 ops/s
Iteration  15: 80261.353 ops/s
Iteration  16: 78475.822 ops/s
Iteration  17: 79420.398 ops/s
Iteration  18: 79532.558 ops/s
Iteration  19: 80308.601 ops/s
Iteration  20: 79953.080 ops/s

# Run progress: 5.00% complete, ETA 00:25:31
# Fork: 3 of 10
# Warmup Iteration   1: 79157.303 ops/s
# Warmup Iteration   2: 82984.825 ops/s
# Warmup Iteration   3: 84342.662 ops/s
# Warmup Iteration   4: 85062.912 ops/s
# Warmup Iteration   5: 85230.231 ops/s
# Warmup Iteration   6: 85293.550 ops/s
# Warmup Iteration   7: 85363.568 ops/s
# Warmup Iteration   8: 84763.651 ops/s
# Warmup Iteration   9: 85519.683 ops/s
# Warmup Iteration  10: 85376.765 ops/s
# Warmup Iteration  11: 85362.541 ops/s
# Warmup Iteration  12: 85264.705 ops/s
# Warmup Iteration  13: 84658.371 ops/s
# Warmup Iteration  14: 85320.295 ops/s
# Warmup Iteration  15: 83863.080 ops/s
# Warmup Iteration  16: 85372.185 ops/s
# Warmup Iteration  17: 85030.093 ops/s
# Warmup Iteration  18: 84378.438 ops/s
# Warmup Iteration  19: 84974.932 ops/s
# Warmup Iteration  20: 84558.706 ops/s
Iteration   1: 85076.606 ops/s
Iteration   2: 85162.723 ops/s
Iteration   3: 84656.588 ops/s
Iteration   4: 85172.850 ops/s
Iteration   5: 85181.786 ops/s
Iteration   6: 85311.937 ops/s
Iteration   7: 84891.351 ops/s
Iteration   8: 84415.724 ops/s
Iteration   9: 85148.181 ops/s
Iteration  10: 84961.149 ops/s
Iteration  11: 85006.777 ops/s
Iteration  12: 85143.544 ops/s
Iteration  13: 84586.694 ops/s
Iteration  14: 84821.641 ops/s
Iteration  15: 85123.633 ops/s
Iteration  16: 83447.955 ops/s
Iteration  17: 83615.318 ops/s
Iteration  18: 82732.320 ops/s
Iteration  19: 85211.499 ops/s
Iteration  20: 85177.666 ops/s

# Run progress: 7.50% complete, ETA 00:24:50
# Fork: 4 of 10
# Warmup Iteration   1: 75752.296 ops/s
# Warmup Iteration   2: 79118.688 ops/s
# Warmup Iteration   3: 79893.270 ops/s
# Warmup Iteration   4: 80321.048 ops/s
# Warmup Iteration   5: 80372.355 ops/s
# Warmup Iteration   6: 80420.449 ops/s
# Warmup Iteration   7: 80183.317 ops/s
# Warmup Iteration   8: 79940.435 ops/s
# Warmup Iteration   9: 80251.815 ops/s
# Warmup Iteration  10: 78761.169 ops/s
# Warmup Iteration  11: 80360.768 ops/s
# Warmup Iteration  12: 80181.244 ops/s
# Warmup Iteration  13: 80001.978 ops/s
# Warmup Iteration  14: 80565.178 ops/s
# Warmup Iteration  15: 80401.353 ops/s
# Warmup Iteration  16: 80437.965 ops/s
# Warmup Iteration  17: 80219.158 ops/s
# Warmup Iteration  18: 78992.019 ops/s
# Warmup Iteration  19: 80483.660 ops/s
# Warmup Iteration  20: 80358.135 ops/s
Iteration   1: 80195.426 ops/s
Iteration   2: 78592.252 ops/s
Iteration   3: 80170.272 ops/s
Iteration   4: 80028.355 ops/s
Iteration   5: 80503.544 ops/s
Iteration   6: 80544.499 ops/s
Iteration   7: 80092.890 ops/s
Iteration   8: 79975.879 ops/s
Iteration   9: 80396.157 ops/s
Iteration  10: 80471.325 ops/s
Iteration  11: 80445.997 ops/s
Iteration  12: 80155.407 ops/s
Iteration  13: 80121.605 ops/s
Iteration  14: 80396.341 ops/s
Iteration  15: 80536.570 ops/s
Iteration  16: 80573.180 ops/s
Iteration  17: 79944.786 ops/s
Iteration  18: 80437.624 ops/s
Iteration  19: 80389.886 ops/s
Iteration  20: 80386.150 ops/s

# Run progress: 10.00% complete, ETA 00:24:10
# Fork: 5 of 10
# Warmup Iteration   1: 77763.816 ops/s
# Warmup Iteration   2: 80941.176 ops/s
# Warmup Iteration   3: 81727.318 ops/s
# Warmup Iteration   4: 81401.426 ops/s
# Warmup Iteration   5: 80896.283 ops/s
# Warmup Iteration   6: 81617.313 ops/s
# Warmup Iteration   7: 81334.159 ops/s
# Warmup Iteration   8: 81748.044 ops/s
# Warmup Iteration   9: 81743.359 ops/s
# Warmup Iteration  10: 81538.322 ops/s
# Warmup Iteration  11: 81002.694 ops/s
# Warmup Iteration  12: 81353.482 ops/s
# Warmup Iteration  13: 81580.322 ops/s
# Warmup Iteration  14: 81512.957 ops/s
# Warmup Iteration  15: 81306.418 ops/s
# Warmup Iteration  16: 81733.949 ops/s
# Warmup Iteration  17: 81227.913 ops/s
# Warmup Iteration  18: 81483.710 ops/s
# Warmup Iteration  19: 81643.687 ops/s
# Warmup Iteration  20: 81469.414 ops/s
Iteration   1: 81357.094 ops/s
Iteration   2: 80885.597 ops/s
Iteration   3: 80817.757 ops/s
Iteration   4: 80282.120 ops/s
Iteration   5: 79680.735 ops/s
Iteration   6: 81512.894 ops/s
Iteration   7: 80702.842 ops/s
Iteration   8: 81447.824 ops/s
Iteration   9: 81643.541 ops/s
Iteration  10: 79918.457 ops/s
Iteration  11: 78855.109 ops/s
Iteration  12: 78299.889 ops/s
Iteration  13: 80824.852 ops/s
Iteration  14: 79874.897 ops/s
Iteration  15: 81501.361 ops/s
Iteration  16: 81274.115 ops/s
Iteration  17: 80895.478 ops/s
Iteration  18: 81488.746 ops/s
Iteration  19: 81752.367 ops/s
Iteration  20: 81376.294 ops/s

# Run progress: 12.50% complete, ETA 00:23:29
# Fork: 6 of 10
# Warmup Iteration   1: 77384.860 ops/s
# Warmup Iteration   2: 81852.458 ops/s
# Warmup Iteration   3: 83267.715 ops/s
# Warmup Iteration   4: 83051.465 ops/s
# Warmup Iteration   5: 83158.031 ops/s
# Warmup Iteration   6: 83163.623 ops/s
# Warmup Iteration   7: 82805.431 ops/s
# Warmup Iteration   8: 83361.626 ops/s
# Warmup Iteration   9: 83316.598 ops/s
# Warmup Iteration  10: 83468.685 ops/s
# Warmup Iteration  11: 83203.648 ops/s
# Warmup Iteration  12: 82749.159 ops/s
# Warmup Iteration  13: 83252.994 ops/s
# Warmup Iteration  14: 83428.834 ops/s
# Warmup Iteration  15: 83390.483 ops/s
# Warmup Iteration  16: 83180.883 ops/s
# Warmup Iteration  17: 82522.791 ops/s
# Warmup Iteration  18: 83021.006 ops/s
# Warmup Iteration  19: 81415.973 ops/s
# Warmup Iteration  20: 82737.678 ops/s
Iteration   1: 82887.836 ops/s
Iteration   2: 82667.928 ops/s
Iteration   3: 83009.355 ops/s
Iteration   4: 82964.551 ops/s
Iteration   5: 83054.417 ops/s
Iteration   6: 82975.127 ops/s
Iteration   7: 82207.677 ops/s
Iteration   8: 82864.279 ops/s
Iteration   9: 82747.172 ops/s
Iteration  10: 82983.709 ops/s
Iteration  11: 82763.886 ops/s
Iteration  12: 82337.506 ops/s
Iteration  13: 82534.180 ops/s
Iteration  14: 82646.536 ops/s
Iteration  15: 82802.561 ops/s
Iteration  16: 82463.388 ops/s
Iteration  17: 82197.116 ops/s
Iteration  18: 82915.240 ops/s
Iteration  19: 82988.845 ops/s
Iteration  20: 82921.714 ops/s

# Run progress: 15.00% complete, ETA 00:22:49
# Fork: 7 of 10
# Warmup Iteration   1: 81089.610 ops/s
# Warmup Iteration   2: 84310.866 ops/s
# Warmup Iteration   3: 81910.431 ops/s
# Warmup Iteration   4: 83422.440 ops/s
# Warmup Iteration   5: 83783.132 ops/s
# Warmup Iteration   6: 83795.961 ops/s
# Warmup Iteration   7: 83244.813 ops/s
# Warmup Iteration   8: 84027.088 ops/s
# Warmup Iteration   9: 83779.265 ops/s
# Warmup Iteration  10: 83756.838 ops/s
# Warmup Iteration  11: 81611.140 ops/s
# Warmup Iteration  12: 81512.194 ops/s
# Warmup Iteration  13: 83857.901 ops/s
# Warmup Iteration  14: 83843.273 ops/s
# Warmup Iteration  15: 83928.983 ops/s
# Warmup Iteration  16: 83540.469 ops/s
# Warmup Iteration  17: 81122.937 ops/s
# Warmup Iteration  18: 82005.411 ops/s
# Warmup Iteration  19: 83793.429 ops/s
# Warmup Iteration  20: 83680.629 ops/s
Iteration   1: 83596.072 ops/s
Iteration   2: 83018.478 ops/s
Iteration   3: 83750.793 ops/s
Iteration   4: 82179.897 ops/s
Iteration   5: 83897.413 ops/s
