# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 78346.074 ops/s
# Warmup Iteration   2: 82697.325 ops/s
# Warmup Iteration   3: 81715.960 ops/s
# Warmup Iteration   4: 81561.748 ops/s
# Warmup Iteration   5: 81575.243 ops/s
# Warmup Iteration   6: 81359.284 ops/s
# Warmup Iteration   7: 81904.535 ops/s
# Warmup Iteration   8: 82004.027 ops/s
# Warmup Iteration   9: 82004.981 ops/s
# Warmup Iteration  10: 81563.342 ops/s
# Warmup Iteration  11: 81096.952 ops/s
# Warmup Iteration  12: 81702.772 ops/s
# Warmup Iteration  13: 81667.375 ops/s
# Warmup Iteration  14: 81799.210 ops/s
# Warmup Iteration  15: 81823.739 ops/s
# Warmup Iteration  16: 81426.007 ops/s
# Warmup Iteration  17: 81672.413 ops/s
# Warmup Iteration  18: 81800.132 ops/s
# Warmup Iteration  19: 81858.301 ops/s
# Warmup Iteration  20: 81189.017 ops/s
Iteration   1: 81348.450 ops/s
Iteration   2: 81610.130 ops/s
Iteration   3: 81762.557 ops/s
Iteration   4: 81708.186 ops/s
Iteration   5: 81348.625 ops/s
Iteration   6: 80883.447 ops/s
Iteration   7: 81787.798 ops/s
Iteration   8: 81625.067 ops/s
Iteration   9: 81749.995 ops/s
Iteration  10: 81627.393 ops/s
Iteration  11: 81434.183 ops/s
Iteration  12: 80274.623 ops/s
Iteration  13: 81216.252 ops/s
Iteration  14: 81785.155 ops/s
Iteration  15: 81814.055 ops/s
Iteration  16: 81168.443 ops/s
Iteration  17: 80941.328 ops/s
Iteration  18: 80318.363 ops/s
Iteration  19: 81772.799 ops/s
Iteration  20: 81718.060 ops/s

# Run progress: 2.50% complete, ETA 00:26:13
# Fork: 2 of 10
# Warmup Iteration   1: 79290.352 ops/s
# Warmup Iteration   2: 85194.012 ops/s
# Warmup Iteration   3: 85336.136 ops/s
# Warmup Iteration   4: 85251.230 ops/s
# Warmup Iteration   5: 85449.506 ops/s
# Warmup Iteration   6: 84898.493 ops/s
# Warmup Iteration   7: 85568.209 ops/s
# Warmup Iteration   8: 85261.797 ops/s
# Warmup Iteration   9: 85343.761 ops/s
# Warmup Iteration  10: 85296.851 ops/s
# Warmup Iteration  11: 84878.000 ops/s
# Warmup Iteration  12: 85506.792 ops/s
# Warmup Iteration  13: 85557.448 ops/s
# Warmup Iteration  14: 85546.575 ops/s
# Warmup Iteration  15: 85378.694 ops/s
# Warmup Iteration  16: 84630.501 ops/s
# Warmup Iteration  17: 85144.146 ops/s
# Warmup Iteration  18: 85160.092 ops/s
# Warmup Iteration  19: 85048.259 ops/s
# Warmup Iteration  20: 84889.342 ops/s
Iteration   1: 84490.437 ops/s
Iteration   2: 85260.385 ops/s
Iteration   3: 85225.447 ops/s
Iteration   4: 84928.226 ops/s
Iteration   5: 85114.733 ops/s
Iteration   6: 84694.071 ops/s
Iteration   7: 85307.155 ops/s
Iteration   8: 85258.289 ops/s
Iteration   9: 85265.698 ops/s
Iteration  10: 85088.616 ops/s
Iteration  11: 84737.368 ops/s
Iteration  12: 85127.060 ops/s
Iteration  13: 85400.175 ops/s
Iteration  14: 85308.138 ops/s
Iteration  15: 85061.732 ops/s
Iteration  16: 84613.092 ops/s
Iteration  17: 85254.774 ops/s
Iteration  18: 85033.034 ops/s
Iteration  19: 84879.944 ops/s
Iteration  20: 85262.681 ops/s

# Run progress: 5.00% complete, ETA 00:25:31
# Fork: 3 of 10
# Warmup Iteration   1: 75183.978 ops/s
# Warmup Iteration   2: 78728.482 ops/s
# Warmup Iteration   3: 80148.846 ops/s
# Warmup Iteration   4: 80051.459 ops/s
# Warmup Iteration   5: 79839.767 ops/s
# Warmup Iteration   6: 79879.174 ops/s
# Warmup Iteration   7: 80339.179 ops/s
# Warmup Iteration   8: 79003.980 ops/s
# Warmup Iteration   9: 80338.910 ops/s
# Warmup Iteration  10: 80217.187 ops/s
# Warmup Iteration  11: 79840.695 ops/s
# Warmup Iteration  12: 79423.426 ops/s
# Warmup Iteration  13: 79597.083 ops/s
# Warmup Iteration  14: 79534.447 ops/s
# Warmup Iteration  15: 76822.907 ops/s
# Warmup Iteration  16: 76450.093 ops/s
# Warmup Iteration  17: 78507.166 ops/s
# Warmup Iteration  18: 79428.552 ops/s
# Warmup Iteration  19: 79264.550 ops/s
# Warmup Iteration  20: 78510.761 ops/s
Iteration   1: 78811.323 ops/s
Iteration   2: 78703.268 ops/s
Iteration   3: 79063.414 ops/s
Iteration   4: 78853.508 ops/s
Iteration   5: 77915.123 ops/s
Iteration   6: 78784.228 ops/s
Iteration   7: 79097.197 ops/s
Iteration   8: 79387.950 ops/s
Iteration   9: 79186.795 ops/s
Iteration  10: 78065.574 ops/s
Iteration  11: 79199.180 ops/s
Iteration  12: 78670.480 ops/s
Iteration  13: 79417.630 ops/s
Iteration  14: 79216.608 ops/s
Iteration  15: 78525.524 ops/s
Iteration  16: 78926.181 ops/s
Iteration  17: 79346.935 ops/s
Iteration  18: 79303.879 ops/s
