# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 74775.688 ops/s
# Warmup Iteration   2: 79760.226 ops/s
# Warmup Iteration   3: 80227.864 ops/s
# Warmup Iteration   4: 80488.622 ops/s
# Warmup Iteration   5: 80560.572 ops/s
# Warmup Iteration   6: 80440.897 ops/s
# Warmup Iteration   7: 80264.920 ops/s
# Warmup Iteration   8: 80046.152 ops/s
# Warmup Iteration   9: 80400.197 ops/s
# Warmup Iteration  10: 80398.894 ops/s
# Warmup Iteration  11: 80001.021 ops/s
# Warmup Iteration  12: 80261.512 ops/s
# Warmup Iteration  13: 79989.194 ops/s
# Warmup Iteration  14: 80372.981 ops/s
# Warmup Iteration  15: 80258.734 ops/s
# Warmup Iteration  16: 80214.252 ops/s
# Warmup Iteration  17: 79935.551 ops/s
# Warmup Iteration  18: 80021.283 ops/s
# Warmup Iteration  19: 80367.759 ops/s
# Warmup Iteration  20: 78799.515 ops/s
Iteration   1: 80348.756 ops/s
Iteration   2: 80389.259 ops/s
Iteration   3: 80087.816 ops/s
Iteration   4: 80195.966 ops/s
Iteration   5: 80107.137 ops/s
Iteration   6: 79537.830 ops/s
Iteration   7: 78373.880 ops/s
Iteration   8: 79791.230 ops/s
Iteration   9: 80234.947 ops/s
Iteration  10: 80355.892 ops/s
Iteration  11: 80230.841 ops/s
Iteration  12: 80052.770 ops/s
Iteration  13: 78523.321 ops/s
Iteration  14: 80264.680 ops/s
Iteration  15: 80250.586 ops/s
Iteration  16: 79687.823 ops/s
Iteration  17: 80174.389 ops/s
Iteration  18: 79560.868 ops/s
Iteration  19: 78867.389 ops/s
Iteration  20: 80130.467 ops/s

# Run progress: 2.50% complete, ETA 00:26:12
# Fork: 2 of 10
# Warmup Iteration   1: 78376.558 ops/s
# Warmup Iteration   2: 83954.951 ops/s
# Warmup Iteration   3: 83654.642 ops/s
# Warmup Iteration   4: 83623.650 ops/s
# Warmup Iteration   5: 83792.099 ops/s
# Warmup Iteration   6: 84155.658 ops/s
# Warmup Iteration   7: 81920.420 ops/s
# Warmup Iteration   8: 83682.621 ops/s
# Warmup Iteration   9: 83970.433 ops/s
# Warmup Iteration  10: 83832.579 ops/s
# Warmup Iteration  11: 83982.000 ops/s
# Warmup Iteration  12: 83549.556 ops/s
# Warmup Iteration  13: 83642.069 ops/s
# Warmup Iteration  14: 84091.883 ops/s
# Warmup Iteration  15: 84098.755 ops/s
# Warmup Iteration  16: 83950.801 ops/s
# Warmup Iteration  17: 83220.595 ops/s
# Warmup Iteration  18: 83447.878 ops/s
# Warmup Iteration  19: 83963.972 ops/s
# Warmup Iteration  20: 83803.802 ops/s
Iteration   1: 83898.416 ops/s
Iteration   2: 83549.223 ops/s
Iteration   3: 83677.150 ops/s
Iteration   4: 83914.722 ops/s
Iteration   5: 84047.870 ops/s
Iteration   6: 83863.408 ops/s
Iteration   7: 83579.427 ops/s
Iteration   8: 83738.508 ops/s
Iteration   9: 84069.933 ops/s
Iteration  10: 84138.388 ops/s
Iteration  11: 83734.099 ops/s
Iteration  12: 83256.111 ops/s
Iteration  13: 83817.837 ops/s
Iteration  14: 83939.172 ops/s
Iteration  15: 84101.229 ops/s
Iteration  16: 84129.288 ops/s
Iteration  17: 83499.803 ops/s
Iteration  18: 83777.622 ops/s
Iteration  19: 83985.321 ops/s
Iteration  20: 84027.509 ops/s

# Run progress: 5.00% complete, ETA 00:25:31
# Fork: 3 of 10
# Warmup Iteration   1: 81188.273 ops/s
# Warmup Iteration   2: 84670.801 ops/s
# Warmup Iteration   3: 81900.096 ops/s
# Warmup Iteration   4: 83829.406 ops/s
# Warmup Iteration   5: 83949.297 ops/s
# Warmup Iteration   6: 84008.716 ops/s
# Warmup Iteration   7: 83403.344 ops/s
# Warmup Iteration   8: 82710.184 ops/s
# Warmup Iteration   9: 83925.781 ops/s
# Warmup Iteration  10: 83746.356 ops/s
# Warmup Iteration  11: 83867.568 ops/s
# Warmup Iteration  12: 83102.184 ops/s
# Warmup Iteration  13: 83936.524 ops/s
# Warmup Iteration  14: 82345.252 ops/s
# Warmup Iteration  15: 83954.743 ops/s
# Warmup Iteration  16: 83672.435 ops/s
# Warmup Iteration  17: 83511.248 ops/s
# Warmup Iteration  18: 83780.822 ops/s
# Warmup Iteration  19: 83899.668 ops/s
# Warmup Iteration  20: 83836.903 ops/s
Iteration   1: 82235.190 ops/s
Iteration   2: 81034.264 ops/s
Iteration   3: 81658.632 ops/s
Iteration   4: 83778.308 ops/s
Iteration   5: 83781.677 ops/s
Iteration   6: 83637.062 ops/s
Iteration   7: 83061.590 ops/s
Iteration   8: 83793.480 ops/s
Iteration   9: 83793.713 ops/s
Iteration  10: 83668.443 ops/s
Iteration  11: 83698.532 ops/s
Iteration  12: 83419.753 ops/s
Iteration  13: 81954.177 ops/s
Iteration  14: 83793.655 ops/s
Iteration  15: 83817.582 ops/s
Iteration  16: 83662.391 ops/s
Iteration  17: 83135.366 ops/s
Iteration  18: 81868.037 ops/s
Iteration  19: 82101.265 ops/s
Iteration  20: 83733.726 ops/s

# Run progress: 7.50% complete, ETA 00:24:50
# Fork: 4 of 10
# Warmup Iteration   1: 80944.949 ops/s
# Warmup Iteration   2: 84324.802 ops/s
# Warmup Iteration   3: 85232.390 ops/s
# Warmup Iteration   4: 85074.200 ops/s
# Warmup Iteration   5: 85488.354 ops/s
# Warmup Iteration   6: 85353.956 ops/s
# Warmup Iteration   7: 82709.774 ops/s
# Warmup Iteration   8: 85339.267 ops/s
# Warmup Iteration   9: 83490.536 ops/s
# Warmup Iteration  10: 85403.349 ops/s
# Warmup Iteration  11: 85369.497 ops/s
# Warmup Iteration  12: 84781.698 ops/s
# Warmup Iteration  13: 84800.204 ops/s
# Warmup Iteration  14: 85459.504 ops/s
# Warmup Iteration  15: 83385.446 ops/s
# Warmup Iteration  16: 85261.893 ops/s
# Warmup Iteration  17: 84419.726 ops/s
