# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 78050.042 ops/s
# Warmup Iteration   2: 83057.943 ops/s
# Warmup Iteration   3: 83322.294 ops/s
# Warmup Iteration   4: 83407.166 ops/s
# Warmup Iteration   5: 83718.850 ops/s
# Warmup Iteration   6: 83401.665 ops/s
# Warmup Iteration   7: 82842.734 ops/s
# Warmup Iteration   8: 83654.268 ops/s
# Warmup Iteration   9: 83401.845 ops/s
# Warmup Iteration  10: 83603.687 ops/s
# Warmup Iteration  11: 83377.679 ops/s
# Warmup Iteration  12: 83071.291 ops/s
# Warmup Iteration  13: 83570.345 ops/s
# Warmup Iteration  14: 83580.747 ops/s
# Warmup Iteration  15: 83692.274 ops/s
# Warmup Iteration  16: 83312.260 ops/s
# Warmup Iteration  17: 82723.500 ops/s
# Warmup Iteration  18: 83435.022 ops/s
# Warmup Iteration  19: 83310.328 ops/s
# Warmup Iteration  20: 83241.755 ops/s
Iteration   1: 83037.782 ops/s
Iteration   2: 79682.687 ops/s
Iteration   3: 81327.053 ops/s
Iteration   4: 83110.058 ops/s
Iteration   5: 82501.855 ops/s
Iteration   6: 83122.026 ops/s
Iteration   7: 83023.018 ops/s
Iteration   8: 83395.525 ops/s
Iteration   9: 83252.403 ops/s
Iteration  10: 83422.384 ops/s
Iteration  11: 83205.158 ops/s
Iteration  12: 82862.637 ops/s
Iteration  13: 83448.199 ops/s
Iteration  14: 81525.370 ops/s
Iteration  15: 83394.071 ops/s
Iteration  16: 82989.795 ops/s
Iteration  17: 82588.953 ops/s
Iteration  18: 83242.142 ops/s
Iteration  19: 83267.798 ops/s
Iteration  20: 83384.046 ops/s

# Run progress: 2.50% complete, ETA 00:26:12
# Fork: 2 of 10
# Warmup Iteration   1: 72554.105 ops/s
# Warmup Iteration   2: 79773.703 ops/s
# Warmup Iteration   3: 80353.395 ops/s
# Warmup Iteration   4: 80013.677 ops/s
# Warmup Iteration   5: 80348.505 ops/s
# Warmup Iteration   6: 79888.120 ops/s
# Warmup Iteration   7: 80440.660 ops/s
# Warmup Iteration   8: 80260.704 ops/s
# Warmup Iteration   9: 80259.584 ops/s
# Warmup Iteration  10: 80300.274 ops/s
# Warmup Iteration  11: 79747.733 ops/s
# Warmup Iteration  12: 80334.799 ops/s
# Warmup Iteration  13: 80231.311 ops/s
# Warmup Iteration  14: 80312.346 ops/s
# Warmup Iteration  15: 80200.247 ops/s
# Warmup Iteration  16: 79464.077 ops/s
# Warmup Iteration  17: 80356.297 ops/s
# Warmup Iteration  18: 80246.009 ops/s
# Warmup Iteration  19: 80308.351 ops/s
# Warmup Iteration  20: 80250.753 ops/s
Iteration   1: 79635.500 ops/s
Iteration   2: 80258.650 ops/s
Iteration   3: 80355.726 ops/s
Iteration   4: 80138.919 ops/s
Iteration   5: 79814.875 ops/s
Iteration   6: 79623.523 ops/s
Iteration   7: 80242.634 ops/s
Iteration   8: 79983.199 ops/s
Iteration   9: 80203.789 ops/s
Iteration  10: 80131.272 ops/s
Iteration  11: 79603.186 ops/s
Iteration  12: 78937.810 ops/s
Iteration  13: 80268.737 ops/s
Iteration  14: 80266.360 ops/s
Iteration  15: 80186.591 ops/s
Iteration  16: 79631.347 ops/s
Iteration  17: 80353.680 ops/s
Iteration  18: 80263.697 ops/s
Iteration  19: 80306.123 ops/s
Iteration  20: 80119.358 ops/s

# Run progress: 5.00% complete, ETA 00:25:31
# Fork: 3 of 10
# Warmup Iteration   1: 73756.317 ops/s
# Warmup Iteration   2: 79899.803 ops/s
# Warmup Iteration   3: 80145.230 ops/s
# Warmup Iteration   4: 80097.381 ops/s
# Warmup Iteration   5: 79712.870 ops/s
# Warmup Iteration   6: 79880.538 ops/s
# Warmup Iteration   7: 80468.890 ops/s
# Warmup Iteration   8: 80368.786 ops/s
# Warmup Iteration   9: 80454.767 ops/s
# Warmup Iteration  10: 80042.765 ops/s
# Warmup Iteration  11: 79765.383 ops/s
# Warmup Iteration  12: 80397.304 ops/s
# Warmup Iteration  13: 80412.351 ops/s
# Warmup Iteration  14: 78717.568 ops/s
# Warmup Iteration  15: 80324.337 ops/s
# Warmup Iteration  16: 79714.563 ops/s
# Warmup Iteration  17: 80265.540 ops/s
# Warmup Iteration  18: 78562.559 ops/s
# Warmup Iteration  19: 77764.080 ops/s
# Warmup Iteration  20: 80105.161 ops/s
Iteration   1: 79769.651 ops/s
Iteration   2: 78761.055 ops/s
Iteration   3: 80259.966 ops/s
Iteration   4: 80133.692 ops/s
Iteration   5: 80172.259 ops/s
Iteration   6: 79655.966 ops/s
Iteration   7: 80339.006 ops/s
Iteration   8: 80305.712 ops/s
Iteration   9: 80182.880 ops/s
Iteration  10: 80290.308 ops/s
Iteration  11: 79588.966 ops/s
Iteration  12: 80479.933 ops/s
Iteration  13: 80293.295 ops/s
Iteration  14: 78190.299 ops/s
Iteration  15: 79982.210 ops/s
Iteration  16: 79665.687 ops/s
Iteration  17: 80349.411 ops/s
Iteration  18: 80355.190 ops/s
Iteration  19: 80209.425 ops/s
Iteration  20: 80064.248 ops/s

# Run progress: 7.50% complete, ETA 00:24:50
# Fork: 4 of 10
# Warmup Iteration   1: 79960.818 ops/s
# Warmup Iteration   2: 85458.153 ops/s
# Warmup Iteration   3: 83775.973 ops/s
# Warmup Iteration   4: 82402.533 ops/s
# Warmup Iteration   5: 82038.580 ops/s
# Warmup Iteration   6: 83330.514 ops/s
# Warmup Iteration   7: 83998.537 ops/s
# Warmup Iteration   8: 83693.892 ops/s
# Warmup Iteration   9: 83319.905 ops/s
# Warmup Iteration  10: 83700.917 ops/s
# Warmup Iteration  11: 83306.689 ops/s
# Warmup Iteration  12: 84012.097 ops/s
# Warmup Iteration  13: 83968.913 ops/s
# Warmup Iteration  14: 83975.581 ops/s
# Warmup Iteration  15: 83855.689 ops/s
# Warmup Iteration  16: 83238.155 ops/s
# Warmup Iteration  17: 83951.965 ops/s
# Warmup Iteration  18: 83669.635 ops/s
# Warmup Iteration  19: 83936.899 ops/s
# Warmup Iteration  20: 83847.569 ops/s
Iteration   1: 83287.597 ops/s
Iteration   2: 83919.785 ops/s
Iteration   3: 83869.720 ops/s
Iteration   4: 83828.593 ops/s
Iteration   5: 83146.236 ops/s
Iteration   6: 83231.753 ops/s
Iteration   7: 83913.234 ops/s
Iteration   8: 82202.181 ops/s
Iteration   9: 83885.460 ops/s
Iteration  10: 83738.780 ops/s
Iteration  11: 81721.142 ops/s
Iteration  12: 83870.472 ops/s
Iteration  13: 83818.377 ops/s
Iteration  14: 83542.591 ops/s
Iteration  15: 83708.454 ops/s
Iteration  16: 83070.449 ops/s
Iteration  17: 83893.244 ops/s
Iteration  18: 83947.366 ops/s
Iteration  19: 83823.997 ops/s
Iteration  20: 83536.264 ops/s

# Run progress: 10.00% complete, ETA 00:24:09
# Fork: 5 of 10
# Warmup Iteration   1: 76013.253 ops/s
# Warmup Iteration   2: 81099.108 ops/s
# Warmup Iteration   3: 81125.209 ops/s
# Warmup Iteration   4: 81474.716 ops/s
# Warmup Iteration   5: 81088.058 ops/s
# Warmup Iteration   6: 80938.081 ops/s
# Warmup Iteration   7: 81377.090 ops/s
# Warmup Iteration   8: 81183.334 ops/s
# Warmup Iteration   9: 81327.615 ops/s
# Warmup Iteration  10: 80990.359 ops/s
# Warmup Iteration  11: 80893.656 ops/s
# Warmup Iteration  12: 81207.392 ops/s
# Warmup Iteration  13: 81260.391 ops/s
# Warmup Iteration  14: 81397.092 ops/s
# Warmup Iteration  15: 80750.183 ops/s
# Warmup Iteration  16: 80808.088 ops/s
# Warmup Iteration  17: 81298.982 ops/s
# Warmup Iteration  18: 81171.799 ops/s
# Warmup Iteration  19: 81307.438 ops/s
# Warmup Iteration  20: 81022.699 ops/s
Iteration   1: 80709.904 ops/s
Iteration   2: 81236.677 ops/s
Iteration   3: 81282.117 ops/s
Iteration   4: 81335.189 ops/s
Iteration   5: 80843.016 ops/s
Iteration   6: 80723.255 ops/s
Iteration   7: 81215.649 ops/s
Iteration   8: 81163.113 ops/s
Iteration   9: 81106.367 ops/s
Iteration  10: 81036.173 ops/s
Iteration  11: 80656.355 ops/s
Iteration  12: 81277.436 ops/s
Iteration  13: 81158.220 ops/s
Iteration  14: 81090.159 ops/s
Iteration  15: 81086.105 ops/s
Iteration  16: 80650.290 ops/s
Iteration  17: 79826.840 ops/s
Iteration  18: 80757.611 ops/s
Iteration  19: 80199.047 ops/s
Iteration  20: 80842.127 ops/s

# Run progress: 12.50% complete, ETA 00:23:29
# Fork: 6 of 10
# Warmup Iteration   1: 74956.685 ops/s
# Warmup Iteration   2: 79619.117 ops/s
# Warmup Iteration   3: 80073.583 ops/s
# Warmup Iteration   4: 79816.876 ops/s
# Warmup Iteration   5: 79556.467 ops/s
# Warmup Iteration   6: 80007.069 ops/s
# Warmup Iteration   7: 80394.298 ops/s
# Warmup Iteration   8: 80091.928 ops/s
# Warmup Iteration   9: 80038.959 ops/s
# Warmup Iteration  10: 79655.223 ops/s
# Warmup Iteration  11: 80191.047 ops/s
# Warmup Iteration  12: 80262.006 ops/s
# Warmup Iteration  13: 80270.544 ops/s
# Warmup Iteration  14: 80181.389 ops/s
# Warmup Iteration  15: 79583.526 ops/s
# Warmup Iteration  16: 78186.801 ops/s
# Warmup Iteration  17: 80149.246 ops/s
# Warmup Iteration  18: 80117.688 ops/s
# Warmup Iteration  19: 80072.373 ops/s
# Warmup Iteration  20: 79525.254 ops/s
Iteration   1: 79793.466 ops/s
Iteration   2: 80299.957 ops/s
Iteration   3: 78211.218 ops/s
Iteration   4: 79990.853 ops/s
Iteration   5: 78374.882 ops/s
Iteration   6: 80124.486 ops/s
Iteration   7: 80190.988 ops/s
Iteration   8: 80166.566 ops/s
Iteration   9: 79859.628 ops/s
Iteration  10: 79434.410 ops/s
Iteration  11: 80075.202 ops/s
Iteration  12: 80129.039 ops/s
Iteration  13: 79901.271 ops/s
Iteration  14: 80135.644 ops/s
Iteration  15: 79454.876 ops/s
Iteration  16: 79784.585 ops/s
Iteration  17: 80089.521 ops/s
Iteration  18: 78641.310 ops/s
Iteration  19: 79923.632 ops/s
Iteration  20: 79543.962 ops/s

