# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 72590.104 ops/s
# Warmup Iteration   2: 79814.125 ops/s
# Warmup Iteration   3: 79901.583 ops/s
# Warmup Iteration   4: 80095.763 ops/s
# Warmup Iteration   5: 80293.960 ops/s
# Warmup Iteration   6: 79823.422 ops/s
# Warmup Iteration   7: 80499.017 ops/s
# Warmup Iteration   8: 80488.261 ops/s
# Warmup Iteration   9: 80317.845 ops/s
# Warmup Iteration  10: 80163.901 ops/s
# Warmup Iteration  11: 79978.949 ops/s
# Warmup Iteration  12: 80279.425 ops/s
# Warmup Iteration  13: 80488.898 ops/s
# Warmup Iteration  14: 80342.752 ops/s
# Warmup Iteration  15: 79831.059 ops/s
# Warmup Iteration  16: 79652.322 ops/s
# Warmup Iteration  17: 80317.625 ops/s
# Warmup Iteration  18: 79495.061 ops/s
# Warmup Iteration  19: 80348.561 ops/s
# Warmup Iteration  20: 79920.469 ops/s
Iteration   1: 79670.572 ops/s
Iteration   2: 78550.521 ops/s
Iteration   3: 80277.840 ops/s
Iteration   4: 80259.288 ops/s
Iteration   5: 80036.278 ops/s
Iteration   6: 79471.196 ops/s
Iteration   7: 80202.236 ops/s
Iteration   8: 80304.202 ops/s
Iteration   9: 80314.445 ops/s
Iteration  10: 80093.776 ops/s
Iteration  11: 79506.561 ops/s
Iteration  12: 80344.439 ops/s
Iteration  13: 80300.109 ops/s
Iteration  14: 78053.522 ops/s
Iteration  15: 80199.943 ops/s
Iteration  16: 78494.969 ops/s
Iteration  17: 77023.196 ops/s
Iteration  18: 80119.985 ops/s
Iteration  19: 80088.471 ops/s
Iteration  20: 79930.423 ops/s

# Run progress: 2.50% complete, ETA 00:26:12
# Fork: 2 of 10
# Warmup Iteration   1: 72379.068 ops/s
# Warmup Iteration   2: 77231.745 ops/s
# Warmup Iteration   3: 76249.964 ops/s
# Warmup Iteration   4: 77587.137 ops/s
# Warmup Iteration   5: 77657.038 ops/s
# Warmup Iteration   6: 77150.924 ops/s
# Warmup Iteration   7: 77866.451 ops/s
# Warmup Iteration   8: 77825.108 ops/s
# Warmup Iteration   9: 77646.243 ops/s
# Warmup Iteration  10: 77394.371 ops/s
# Warmup Iteration  11: 77187.977 ops/s
# Warmup Iteration  12: 77698.720 ops/s
# Warmup Iteration  13: 77852.729 ops/s
# Warmup Iteration  14: 77849.790 ops/s
# Warmup Iteration  15: 77640.200 ops/s
# Warmup Iteration  16: 77164.009 ops/s
# Warmup Iteration  17: 77751.098 ops/s
# Warmup Iteration  18: 77796.648 ops/s
# Warmup Iteration  19: 77718.610 ops/s
# Warmup Iteration  20: 77352.821 ops/s
Iteration   1: 77136.083 ops/s
Iteration   2: 75998.372 ops/s
Iteration   3: 77655.734 ops/s
Iteration   4: 77201.511 ops/s
Iteration   5: 77562.896 ops/s
Iteration   6: 76974.979 ops/s
Iteration   7: 77511.453 ops/s
Iteration   8: 77430.736 ops/s
Iteration   9: 77613.639 ops/s
Iteration  10: 77625.143 ops/s
Iteration  11: 77054.263 ops/s
Iteration  12: 77644.605 ops/s
Iteration  13: 77739.367 ops/s
Iteration  14: 77504.264 ops/s
Iteration  15: 77453.602 ops/s
Iteration  16: 77122.876 ops/s
Iteration  17: 77860.252 ops/s
Iteration  18: 77664.357 ops/s
Iteration  19: 77325.877 ops/s
Iteration  20: 77613.886 ops/s

# Run progress: 5.00% complete, ETA 00:25:31
# Fork: 3 of 10
# Warmup Iteration   1: 74408.891 ops/s
# Warmup Iteration   2: 80002.785 ops/s
# Warmup Iteration   3: 80222.794 ops/s
# Warmup Iteration   4: 80131.821 ops/s
# Warmup Iteration   5: 80262.913 ops/s
# Warmup Iteration   6: 80231.692 ops/s
# Warmup Iteration   7: 80367.900 ops/s
# Warmup Iteration   8: 80409.315 ops/s
# Warmup Iteration   9: 80456.737 ops/s
# Warmup Iteration  10: 80295.646 ops/s
# Warmup Iteration  11: 80198.123 ops/s
# Warmup Iteration  12: 80408.791 ops/s
# Warmup Iteration  13: 80491.199 ops/s
# Warmup Iteration  14: 79805.722 ops/s
# Warmup Iteration  15: 80203.043 ops/s
# Warmup Iteration  16: 80109.856 ops/s
# Warmup Iteration  17: 80317.822 ops/s
# Warmup Iteration  18: 80258.781 ops/s
# Warmup Iteration  19: 80392.245 ops/s
# Warmup Iteration  20: 80222.983 ops/s
Iteration   1: 80074.245 ops/s
Iteration   2: 80265.296 ops/s
Iteration   3: 80282.149 ops/s
Iteration   4: 80386.358 ops/s
Iteration   5: 80223.955 ops/s
Iteration   6: 80143.143 ops/s
Iteration   7: 80238.603 ops/s
Iteration   8: 80237.564 ops/s
Iteration   9: 79988.481 ops/s
Iteration  10: 80275.071 ops/s
Iteration  11: 80182.865 ops/s
Iteration  12: 80344.079 ops/s
Iteration  13: 80376.656 ops/s
Iteration  14: 80216.167 ops/s
Iteration  15: 80163.170 ops/s
Iteration  16: 79618.986 ops/s
Iteration  17: 80431.843 ops/s
Iteration  18: 80266.129 ops/s
Iteration  19: 80361.323 ops/s
Iteration  20: 77339.384 ops/s

# Run progress: 7.50% complete, ETA 00:24:50
# Fork: 4 of 10
# Warmup Iteration   1: 80833.499 ops/s
# Warmup Iteration   2: 85362.658 ops/s
# Warmup Iteration   3: 83956.230 ops/s
# Warmup Iteration   4: 83276.243 ops/s
# Warmup Iteration   5: 83450.502 ops/s
# Warmup Iteration   6: 84200.241 ops/s
# Warmup Iteration   7: 84108.267 ops/s
# Warmup Iteration   8: 84050.802 ops/s
# Warmup Iteration   9: 83982.453 ops/s
# Warmup Iteration  10: 83327.141 ops/s
# Warmup Iteration  11: 84081.921 ops/s
# Warmup Iteration  12: 84066.922 ops/s
# Warmup Iteration  13: 84140.948 ops/s
# Warmup Iteration  14: 84085.921 ops/s
# Warmup Iteration  15: 83458.733 ops/s
# Warmup Iteration  16: 84028.374 ops/s
# Warmup Iteration  17: 84088.396 ops/s
# Warmup Iteration  18: 80854.159 ops/s
# Warmup Iteration  19: 83641.449 ops/s
# Warmup Iteration  20: 82905.243 ops/s
Iteration   1: 83917.420 ops/s
Iteration   2: 84166.268 ops/s
Iteration   3: 84131.985 ops/s
Iteration   4: 82320.580 ops/s
Iteration   5: 83198.092 ops/s
Iteration   6: 82453.485 ops/s
Iteration   7: 83939.178 ops/s
Iteration   8: 84182.173 ops/s
Iteration   9: 84059.658 ops/s
Iteration  10: 83601.245 ops/s
Iteration  11: 84078.014 ops/s
Iteration  12: 84003.171 ops/s
Iteration  13: 83995.110 ops/s
Iteration  14: 83824.243 ops/s
Iteration  15: 83071.936 ops/s
Iteration  16: 83828.068 ops/s
Iteration  17: 84114.537 ops/s
Iteration  18: 82210.732 ops/s
Iteration  19: 83942.201 ops/s
Iteration  20: 83241.012 ops/s

# Run progress: 10.00% complete, ETA 00:24:10
# Fork: 5 of 10
# Warmup Iteration   1: 75250.747 ops/s
# Warmup Iteration   2: 79998.878 ops/s
# Warmup Iteration   3: 80490.838 ops/s
