# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 74158.356 ops/s
# Warmup Iteration   2: 79399.876 ops/s
# Warmup Iteration   3: 80145.902 ops/s
# Warmup Iteration   4: 79852.008 ops/s
# Warmup Iteration   5: 80874.898 ops/s
# Warmup Iteration   6: 80799.540 ops/s
# Warmup Iteration   7: 80689.928 ops/s
# Warmup Iteration   8: 80604.402 ops/s
# Warmup Iteration   9: 80042.253 ops/s
# Warmup Iteration  10: 80546.546 ops/s
# Warmup Iteration  11: 80570.617 ops/s
# Warmup Iteration  12: 80441.440 ops/s
# Warmup Iteration  13: 80436.294 ops/s
# Warmup Iteration  14: 80017.192 ops/s
# Warmup Iteration  15: 80677.290 ops/s
# Warmup Iteration  16: 80567.031 ops/s
# Warmup Iteration  17: 80564.686 ops/s
# Warmup Iteration  18: 80218.504 ops/s
# Warmup Iteration  19: 80022.152 ops/s
# Warmup Iteration  20: 79193.459 ops/s
Iteration   1: 80352.708 ops/s
Iteration   2: 80565.796 ops/s
Iteration   3: 79862.680 ops/s
Iteration   4: 79631.423 ops/s
Iteration   5: 80313.736 ops/s
Iteration   6: 80320.755 ops/s
Iteration   7: 79467.829 ops/s
Iteration   8: 79999.651 ops/s
Iteration   9: 79881.353 ops/s
Iteration  10: 80449.940 ops/s
Iteration  11: 78748.495 ops/s
Iteration  12: 80472.259 ops/s
Iteration  13: 79746.232 ops/s
Iteration  14: 79641.748 ops/s
Iteration  15: 80669.597 ops/s
Iteration  16: 80523.348 ops/s
Iteration  17: 78912.818 ops/s
Iteration  18: 80432.379 ops/s
Iteration  19: 80099.741 ops/s
Iteration  20: 80656.066 ops/s

# Run progress: 2.50% complete, ETA 00:26:13
# Fork: 2 of 10
# Warmup Iteration   1: 74826.545 ops/s
# Warmup Iteration   2: 79559.528 ops/s
# Warmup Iteration   3: 80066.062 ops/s
# Warmup Iteration   4: 79584.096 ops/s
# Warmup Iteration   5: 80374.145 ops/s
# Warmup Iteration   6: 80375.260 ops/s
# Warmup Iteration   7: 80269.620 ops/s
# Warmup Iteration   8: 79525.646 ops/s
# Warmup Iteration   9: 80329.051 ops/s
# Warmup Iteration  10: 80291.661 ops/s
# Warmup Iteration  11: 80230.635 ops/s
# Warmup Iteration  12: 80215.847 ops/s
# Warmup Iteration  13: 80076.429 ops/s
# Warmup Iteration  14: 80279.242 ops/s
# Warmup Iteration  15: 80260.644 ops/s
# Warmup Iteration  16: 80265.076 ops/s
# Warmup Iteration  17: 80172.517 ops/s
# Warmup Iteration  18: 79955.858 ops/s
# Warmup Iteration  19: 80232.732 ops/s
# Warmup Iteration  20: 80345.623 ops/s
Iteration   1: 80252.464 ops/s
Iteration   2: 80117.579 ops/s
Iteration   3: 79980.993 ops/s
Iteration   4: 79895.199 ops/s
Iteration   5: 80184.864 ops/s
Iteration   6: 80192.971 ops/s
Iteration   7: 79944.512 ops/s
Iteration   8: 80102.231 ops/s
Iteration   9: 80395.360 ops/s
Iteration  10: 80226.713 ops/s
Iteration  11: 80034.199 ops/s
Iteration  12: 80087.220 ops/s
Iteration  13: 79888.393 ops/s
Iteration  14: 80167.320 ops/s
Iteration  15: 80331.693 ops/s
Iteration  16: 80330.242 ops/s
Iteration  17: 80147.830 ops/s
Iteration  18: 79965.435 ops/s
Iteration  19: 79927.517 ops/s
Iteration  20: 80229.687 ops/s

# Run progress: 5.00% complete, ETA 00:25:31
# Fork: 3 of 10
# Warmup Iteration   1: 73824.492 ops/s
# Warmup Iteration   2: 79846.025 ops/s
# Warmup Iteration   3: 80004.465 ops/s
# Warmup Iteration   4: 80716.444 ops/s
# Warmup Iteration   5: 80708.749 ops/s
# Warmup Iteration   6: 80609.194 ops/s
# Warmup Iteration   7: 80349.685 ops/s
# Warmup Iteration   8: 80018.216 ops/s
# Warmup Iteration   9: 80567.915 ops/s
# Warmup Iteration  10: 80488.736 ops/s
# Warmup Iteration  11: 80609.226 ops/s
# Warmup Iteration  12: 80369.991 ops/s
# Warmup Iteration  13: 79891.759 ops/s
# Warmup Iteration  14: 80264.918 ops/s
# Warmup Iteration  15: 80596.838 ops/s
# Warmup Iteration  16: 80538.480 ops/s
# Warmup Iteration  17: 80034.977 ops/s
# Warmup Iteration  18: 79935.427 ops/s
# Warmup Iteration  19: 80458.861 ops/s
# Warmup Iteration  20: 80468.994 ops/s
Iteration   1: 79069.513 ops/s
Iteration   2: 80268.364 ops/s
Iteration   3: 79931.681 ops/s
Iteration   4: 78817.075 ops/s
Iteration   5: 80536.148 ops/s
Iteration   6: 80365.394 ops/s
Iteration   7: 80157.750 ops/s
Iteration   8: 80335.359 ops/s
Iteration   9: 80002.062 ops/s
Iteration  10: 80522.313 ops/s
Iteration  11: 80572.642 ops/s
Iteration  12: 80303.987 ops/s
Iteration  13: 80176.982 ops/s
Iteration  14: 80737.326 ops/s
Iteration  15: 80531.491 ops/s
Iteration  16: 80685.552 ops/s
Iteration  17: 80302.062 ops/s
Iteration  18: 80432.828 ops/s
Iteration  19: 80623.337 ops/s
Iteration  20: 80619.901 ops/s

# Run progress: 7.50% complete, ETA 00:24:50
# Fork: 4 of 10
# Warmup Iteration   1: 81558.638 ops/s
# Warmup Iteration   2: 85001.725 ops/s
# Warmup Iteration   3: 83050.019 ops/s
# Warmup Iteration   4: 83280.673 ops/s
# Warmup Iteration   5: 83774.856 ops/s
# Warmup Iteration   6: 83818.751 ops/s
# Warmup Iteration   7: 83780.227 ops/s
# Warmup Iteration   8: 83317.475 ops/s
# Warmup Iteration   9: 83899.073 ops/s
# Warmup Iteration  10: 83759.497 ops/s
# Warmup Iteration  11: 83904.755 ops/s
