# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 76458.120 ops/s
# Warmup Iteration   2: 79999.387 ops/s
# Warmup Iteration   3: 80048.280 ops/s
# Warmup Iteration   4: 79716.461 ops/s
# Warmup Iteration   5: 80551.195 ops/s
# Warmup Iteration   6: 80534.707 ops/s
# Warmup Iteration   7: 80131.101 ops/s
# Warmup Iteration   8: 80116.549 ops/s
# Warmup Iteration   9: 80072.679 ops/s
# Warmup Iteration  10: 80381.544 ops/s
# Warmup Iteration  11: 80395.645 ops/s
# Warmup Iteration  12: 80335.321 ops/s
# Warmup Iteration  13: 80254.145 ops/s
# Warmup Iteration  14: 80048.969 ops/s
# Warmup Iteration  15: 80351.811 ops/s
# Warmup Iteration  16: 80173.116 ops/s
# Warmup Iteration  17: 80356.408 ops/s
# Warmup Iteration  18: 80162.878 ops/s
# Warmup Iteration  19: 79835.055 ops/s
# Warmup Iteration  20: 80052.965 ops/s
Iteration   1: 80248.238 ops/s
Iteration   2: 80109.186 ops/s
Iteration   3: 80060.327 ops/s
Iteration   4: 79783.061 ops/s
Iteration   5: 80292.637 ops/s
Iteration   6: 80387.999 ops/s
Iteration   7: 80210.040 ops/s
Iteration   8: 80121.550 ops/s
Iteration   9: 79896.620 ops/s
Iteration  10: 80309.192 ops/s
Iteration  11: 80291.188 ops/s
Iteration  12: 80257.507 ops/s
Iteration  13: 80087.693 ops/s
Iteration  14: 80024.548 ops/s
Iteration  15: 80289.329 ops/s
Iteration  16: 78966.741 ops/s
Iteration  17: 80332.479 ops/s
Iteration  18: 79526.104 ops/s
Iteration  19: 79925.889 ops/s
Iteration  20: 80343.709 ops/s

# Run progress: 2.50% complete, ETA 00:26:13
# Fork: 2 of 10
# Warmup Iteration   1: 71061.930 ops/s
# Warmup Iteration   2: 76649.775 ops/s
# Warmup Iteration   3: 76779.923 ops/s
# Warmup Iteration   4: 75758.584 ops/s
# Warmup Iteration   5: 77517.731 ops/s
# Warmup Iteration   6: 77504.340 ops/s
# Warmup Iteration   7: 77300.219 ops/s
# Warmup Iteration   8: 75927.767 ops/s
# Warmup Iteration   9: 77254.181 ops/s
# Warmup Iteration  10: 75922.954 ops/s
# Warmup Iteration  11: 77370.781 ops/s
# Warmup Iteration  12: 77411.108 ops/s
# Warmup Iteration  13: 76532.757 ops/s
# Warmup Iteration  14: 77371.033 ops/s
# Warmup Iteration  15: 77258.502 ops/s
# Warmup Iteration  16: 77348.047 ops/s
# Warmup Iteration  17: 77307.754 ops/s
# Warmup Iteration  18: 76861.163 ops/s
# Warmup Iteration  19: 77318.480 ops/s
# Warmup Iteration  20: 77314.765 ops/s
Iteration   1: 77222.420 ops/s
Iteration   2: 77262.150 ops/s
Iteration   3: 76689.821 ops/s
Iteration   4: 77302.935 ops/s
Iteration   5: 77418.113 ops/s
Iteration   6: 77351.263 ops/s
Iteration   7: 77211.277 ops/s
Iteration   8: 76730.007 ops/s
Iteration   9: 75873.521 ops/s
Iteration  10: 75120.848 ops/s
Iteration  11: 77125.877 ops/s
Iteration  12: 75375.100 ops/s
Iteration  13: 76704.406 ops/s
Iteration  14: 77315.602 ops/s
Iteration  15: 77291.115 ops/s
Iteration  16: 77369.398 ops/s
Iteration  17: 77302.406 ops/s
Iteration  18: 77169.087 ops/s
Iteration  19: 75611.331 ops/s
Iteration  20: 75668.872 ops/s

# Run progress: 5.00% complete, ETA 00:25:31
# Fork: 3 of 10
# Warmup Iteration   1: 79981.624 ops/s
# Warmup Iteration   2: 81706.994 ops/s
# Warmup Iteration   3: 81069.518 ops/s
# Warmup Iteration   4: 81857.968 ops/s
# Warmup Iteration   5: 82501.261 ops/s
# Warmup Iteration   6: 83604.684 ops/s
# Warmup Iteration   7: 82829.746 ops/s
# Warmup Iteration   8: 82904.452 ops/s
# Warmup Iteration   9: 83107.450 ops/s
# Warmup Iteration  10: 83568.367 ops/s
# Warmup Iteration  11: 82608.948 ops/s
# Warmup Iteration  12: 82790.278 ops/s
# Warmup Iteration  13: 82840.505 ops/s
# Warmup Iteration  14: 83436.876 ops/s
# Warmup Iteration  15: 83429.727 ops/s
# Warmup Iteration  16: 83458.212 ops/s
# Warmup Iteration  17: 81178.243 ops/s
# Warmup Iteration  18: 82705.039 ops/s
# Warmup Iteration  19: 83211.903 ops/s
# Warmup Iteration  20: 83216.390 ops/s
Iteration   1: 83409.389 ops/s
Iteration   2: 81578.942 ops/s
Iteration   3: 82152.209 ops/s
Iteration   4: 83277.696 ops/s
Iteration   5: 83260.705 ops/s
Iteration   6: 83401.587 ops/s
Iteration   7: 83138.330 ops/s
Iteration   8: 82743.966 ops/s
Iteration   9: 82549.040 ops/s
Iteration  10: 83268.685 ops/s
Iteration  11: 83310.081 ops/s
Iteration  12: 83246.777 ops/s
Iteration  13: 82727.193 ops/s
Iteration  14: 83387.445 ops/s
Iteration  15: 83362.487 ops/s
Iteration  16: 83330.125 ops/s
Iteration  17: 83253.158 ops/s
Iteration  18: 82494.253 ops/s
Iteration  19: 83243.993 ops/s
Iteration  20: 83264.034 ops/s

# Run progress: 7.50% complete, ETA 00:24:50
# Fork: 4 of 10
# Warmup Iteration   1: 76204.483 ops/s
# Warmup Iteration   2: 81257.346 ops/s
# Warmup Iteration   3: 78780.969 ops/s
# Warmup Iteration   4: 81069.683 ops/s
# Warmup Iteration   5: 81079.931 ops/s
# Warmup Iteration   6: 81297.639 ops/s
# Warmup Iteration   7: 81298.827 ops/s
