# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 75816.447 ops/s
# Warmup Iteration   2: 79188.613 ops/s
# Warmup Iteration   3: 78864.408 ops/s
# Warmup Iteration   4: 78687.069 ops/s
# Warmup Iteration   5: 78652.775 ops/s
# Warmup Iteration   6: 79117.786 ops/s
# Warmup Iteration   7: 79011.692 ops/s
# Warmup Iteration   8: 79015.098 ops/s
# Warmup Iteration   9: 78971.863 ops/s
# Warmup Iteration  10: 78746.581 ops/s
# Warmup Iteration  11: 78914.110 ops/s
# Warmup Iteration  12: 79063.618 ops/s
# Warmup Iteration  13: 78663.539 ops/s
# Warmup Iteration  14: 78898.647 ops/s
# Warmup Iteration  15: 78662.050 ops/s
# Warmup Iteration  16: 78943.003 ops/s
# Warmup Iteration  17: 78834.746 ops/s
# Warmup Iteration  18: 79083.726 ops/s
# Warmup Iteration  19: 78900.008 ops/s
# Warmup Iteration  20: 78439.629 ops/s
Iteration   1: 78831.725 ops/s
Iteration   2: 78924.003 ops/s
Iteration   3: 78912.172 ops/s
Iteration   4: 78773.377 ops/s
Iteration   5: 78805.000 ops/s
Iteration   6: 79003.831 ops/s
Iteration   7: 78868.759 ops/s
Iteration   8: 78856.052 ops/s
Iteration   9: 78823.978 ops/s
Iteration  10: 78528.396 ops/s
Iteration  11: 78682.565 ops/s
Iteration  12: 78911.656 ops/s
Iteration  13: 78925.619 ops/s
Iteration  14: 78742.565 ops/s
Iteration  15: 78283.557 ops/s
Iteration  16: 78881.674 ops/s
Iteration  17: 78931.444 ops/s
Iteration  18: 78843.046 ops/s
Iteration  19: 78790.590 ops/s
Iteration  20: 78089.615 ops/s

# Run progress: 2.50% complete, ETA 00:26:12
# Fork: 2 of 10
# Warmup Iteration   1: 74297.368 ops/s
# Warmup Iteration   2: 79972.400 ops/s
# Warmup Iteration   3: 80334.432 ops/s
# Warmup Iteration   4: 79986.110 ops/s
# Warmup Iteration   5: 79834.953 ops/s
# Warmup Iteration   6: 80073.799 ops/s
# Warmup Iteration   7: 80471.130 ops/s
# Warmup Iteration   8: 80383.563 ops/s
# Warmup Iteration   9: 80366.872 ops/s
# Warmup Iteration  10: 79763.716 ops/s
# Warmup Iteration  11: 80381.064 ops/s
# Warmup Iteration  12: 80458.666 ops/s
# Warmup Iteration  13: 80433.899 ops/s
# Warmup Iteration  14: 80310.136 ops/s
# Warmup Iteration  15: 79585.606 ops/s
# Warmup Iteration  16: 80411.705 ops/s
# Warmup Iteration  17: 80262.588 ops/s
# Warmup Iteration  18: 80234.609 ops/s
# Warmup Iteration  19: 78631.546 ops/s
# Warmup Iteration  20: 79542.964 ops/s
Iteration   1: 79974.806 ops/s
Iteration   2: 78561.756 ops/s
Iteration   3: 80280.671 ops/s
Iteration   4: 80038.579 ops/s
Iteration   5: 79588.099 ops/s
Iteration   6: 80126.835 ops/s
Iteration   7: 80124.396 ops/s
Iteration   8: 80323.137 ops/s
Iteration   9: 80105.870 ops/s
Iteration  10: 79468.343 ops/s
Iteration  11: 80264.406 ops/s
Iteration  12: 80293.095 ops/s
Iteration  13: 80284.572 ops/s
Iteration  14: 80247.666 ops/s
Iteration  15: 79563.003 ops/s
Iteration  16: 80335.499 ops/s
Iteration  17: 79860.728 ops/s
