# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 80883.840 ops/s
# Warmup Iteration   2: 82858.196 ops/s
# Warmup Iteration   3: 85572.294 ops/s
# Warmup Iteration   4: 85222.726 ops/s
# Warmup Iteration   5: 85302.971 ops/s
# Warmup Iteration   6: 85876.670 ops/s
# Warmup Iteration   7: 85727.364 ops/s
# Warmup Iteration   8: 85836.427 ops/s
# Warmup Iteration   9: 83835.924 ops/s
# Warmup Iteration  10: 85668.735 ops/s
# Warmup Iteration  11: 85709.486 ops/s
# Warmup Iteration  12: 85700.371 ops/s
# Warmup Iteration  13: 85726.524 ops/s
# Warmup Iteration  14: 85551.431 ops/s
# Warmup Iteration  15: 85746.389 ops/s
# Warmup Iteration  16: 85717.626 ops/s
# Warmup Iteration  17: 85479.071 ops/s
# Warmup Iteration  18: 85405.460 ops/s
# Warmup Iteration  19: 85362.734 ops/s
# Warmup Iteration  20: 85427.795 ops/s
Iteration   1: 85492.492 ops/s
Iteration   2: 83701.804 ops/s
Iteration   3: 85307.202 ops/s
Iteration   4: 85019.615 ops/s
Iteration   5: 85535.904 ops/s
Iteration   6: 85348.495 ops/s
Iteration   7: 85436.734 ops/s
Iteration   8: 83427.059 ops/s
Iteration   9: 81678.183 ops/s
Iteration  10: 84119.406 ops/s
Iteration  11: 85617.353 ops/s
Iteration  12: 85597.432 ops/s
Iteration  13: 85231.415 ops/s
Iteration  14: 85024.140 ops/s
Iteration  15: 85598.298 ops/s
Iteration  16: 85235.746 ops/s
Iteration  17: 85685.205 ops/s
Iteration  18: 85293.470 ops/s
Iteration  19: 85164.269 ops/s
Iteration  20: 85615.205 ops/s

# Run progress: 2.50% complete, ETA 00:26:13
# Fork: 2 of 10
# Warmup Iteration   1: 74887.102 ops/s
# Warmup Iteration   2: 79535.001 ops/s
# Warmup Iteration   3: 79641.672 ops/s
# Warmup Iteration   4: 80208.169 ops/s
# Warmup Iteration   5: 80420.372 ops/s
# Warmup Iteration   6: 80555.617 ops/s
# Warmup Iteration   7: 80264.848 ops/s
# Warmup Iteration   8: 79431.680 ops/s
# Warmup Iteration   9: 80425.722 ops/s
# Warmup Iteration  10: 80354.512 ops/s
# Warmup Iteration  11: 80118.691 ops/s
# Warmup Iteration  12: 80109.052 ops/s
# Warmup Iteration  13: 79791.518 ops/s
