# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 75049.785 ops/s
# Warmup Iteration   2: 80408.940 ops/s
# Warmup Iteration   3: 80088.113 ops/s
# Warmup Iteration   4: 80981.044 ops/s
# Warmup Iteration   5: 82046.090 ops/s
# Warmup Iteration   6: 81947.230 ops/s
# Warmup Iteration   7: 81907.248 ops/s
# Warmup Iteration   8: 81931.045 ops/s
# Warmup Iteration   9: 81320.990 ops/s
# Warmup Iteration  10: 81655.535 ops/s
# Warmup Iteration  11: 82041.300 ops/s
# Warmup Iteration  12: 81777.594 ops/s
# Warmup Iteration  13: 81812.632 ops/s
# Warmup Iteration  14: 81674.076 ops/s
# Warmup Iteration  15: 81938.241 ops/s
# Warmup Iteration  16: 81939.599 ops/s
# Warmup Iteration  17: 81839.312 ops/s
# Warmup Iteration  18: 81760.780 ops/s
# Warmup Iteration  19: 81340.816 ops/s
# Warmup Iteration  20: 81917.573 ops/s
Iteration   1: 81872.369 ops/s
Iteration   2: 81874.311 ops/s
Iteration   3: 81840.459 ops/s
Iteration   4: 81189.886 ops/s
Iteration   5: 81497.545 ops/s
Iteration   6: 81859.171 ops/s
Iteration   7: 81854.521 ops/s
Iteration   8: 81741.465 ops/s
Iteration   9: 81371.101 ops/s
Iteration  10: 81811.034 ops/s
Iteration  11: 81826.691 ops/s
Iteration  12: 81758.012 ops/s
Iteration  13: 81703.872 ops/s
Iteration  14: 81236.142 ops/s
Iteration  15: 81863.259 ops/s
Iteration  16: 81849.531 ops/s
Iteration  17: 81741.957 ops/s
Iteration  18: 81540.501 ops/s
Iteration  19: 81245.539 ops/s
Iteration  20: 81765.057 ops/s

# Run progress: 2.50% complete, ETA 00:26:12
# Fork: 2 of 10
# Warmup Iteration   1: 72200.615 ops/s
# Warmup Iteration   2: 79423.524 ops/s
# Warmup Iteration   3: 79999.752 ops/s
# Warmup Iteration   4: 79284.749 ops/s
# Warmup Iteration   5: 79993.477 ops/s
# Warmup Iteration   6: 80024.698 ops/s
# Warmup Iteration   7: 80048.806 ops/s
# Warmup Iteration   8: 79979.105 ops/s
# Warmup Iteration   9: 79223.749 ops/s
# Warmup Iteration  10: 80145.173 ops/s
# Warmup Iteration  11: 79969.365 ops/s
# Warmup Iteration  12: 80038.906 ops/s
# Warmup Iteration  13: 79876.344 ops/s
# Warmup Iteration  14: 78226.627 ops/s
# Warmup Iteration  15: 79961.683 ops/s
# Warmup Iteration  16: 79593.069 ops/s
# Warmup Iteration  17: 79983.297 ops/s
# Warmup Iteration  18: 79882.857 ops/s
# Warmup Iteration  19: 79198.017 ops/s
# Warmup Iteration  20: 79769.479 ops/s
Iteration   1: 80022.776 ops/s
Iteration   2: 78438.827 ops/s
Iteration   3: 79805.733 ops/s
Iteration   4: 79059.297 ops/s
Iteration   5: 80094.086 ops/s
Iteration   6: 79956.714 ops/s
Iteration   7: 79834.663 ops/s
Iteration   8: 79707.422 ops/s
Iteration   9: 79748.998 ops/s
Iteration  10: 79126.255 ops/s
Iteration  11: 79017.314 ops/s
Iteration  12: 79843.610 ops/s
Iteration  13: 79681.374 ops/s
Iteration  14: 79380.415 ops/s
Iteration  15: 79966.334 ops/s
Iteration  16: 79889.723 ops/s
Iteration  17: 79751.019 ops/s
Iteration  18: 79743.881 ops/s
Iteration  19: 79328.188 ops/s
Iteration  20: 79868.687 ops/s

# Run progress: 5.00% complete, ETA 00:25:30
# Fork: 3 of 10
# Warmup Iteration   1: 73765.952 ops/s
# Warmup Iteration   2: 79819.204 ops/s
# Warmup Iteration   3: 79970.916 ops/s
# Warmup Iteration   4: 80338.748 ops/s
# Warmup Iteration   5: 80713.505 ops/s
# Warmup Iteration   6: 80366.901 ops/s
# Warmup Iteration   7: 80738.241 ops/s
# Warmup Iteration   8: 80209.530 ops/s
# Warmup Iteration   9: 78791.151 ops/s
# Warmup Iteration  10: 78943.502 ops/s
# Warmup Iteration  11: 80803.463 ops/s
# Warmup Iteration  12: 80653.848 ops/s
# Warmup Iteration  13: 80426.063 ops/s
# Warmup Iteration  14: 77212.072 ops/s
# Warmup Iteration  15: 79856.847 ops/s
# Warmup Iteration  16: 80622.429 ops/s
# Warmup Iteration  17: 80598.668 ops/s
# Warmup Iteration  18: 79990.510 ops/s
# Warmup Iteration  19: 80639.869 ops/s
# Warmup Iteration  20: 80664.162 ops/s
Iteration   1: 80395.099 ops/s
Iteration   2: 80347.491 ops/s
Iteration   3: 79990.843 ops/s
Iteration   4: 80379.420 ops/s
Iteration   5: 80586.466 ops/s
Iteration   6: 80621.793 ops/s
Iteration   7: 80485.238 ops/s
Iteration   8: 79989.076 ops/s
Iteration   9: 80628.066 ops/s
Iteration  10: 80567.236 ops/s
Iteration  11: 80688.795 ops/s
Iteration  12: 80528.640 ops/s
Iteration  13: 80086.361 ops/s
Iteration  14: 80659.959 ops/s
Iteration  15: 80655.286 ops/s
Iteration  16: 79035.467 ops/s
Iteration  17: 78640.953 ops/s
Iteration  18: 79921.308 ops/s
Iteration  19: 80387.969 ops/s
Iteration  20: 80655.392 ops/s

# Run progress: 7.50% complete, ETA 00:24:50
# Fork: 4 of 10
# Warmup Iteration   1: 79724.316 ops/s
# Warmup Iteration   2: 85030.318 ops/s
# Warmup Iteration   3: 83277.268 ops/s
# Warmup Iteration   4: 83747.072 ops/s
# Warmup Iteration   5: 83994.091 ops/s
# Warmup Iteration   6: 84041.208 ops/s
# Warmup Iteration   7: 83864.973 ops/s
# Warmup Iteration   8: 83383.202 ops/s
# Warmup Iteration   9: 84006.297 ops/s
# Warmup Iteration  10: 83917.694 ops/s
# Warmup Iteration  11: 84043.616 ops/s
# Warmup Iteration  12: 83370.582 ops/s
# Warmup Iteration  13: 83370.290 ops/s
# Warmup Iteration  14: 84064.980 ops/s
# Warmup Iteration  15: 84000.818 ops/s
# Warmup Iteration  16: 83771.351 ops/s
# Warmup Iteration  17: 83857.857 ops/s
# Warmup Iteration  18: 83175.156 ops/s
# Warmup Iteration  19: 83864.787 ops/s
# Warmup Iteration  20: 83697.384 ops/s
Iteration   1: 83985.503 ops/s
Iteration   2: 83662.545 ops/s
Iteration   3: 83217.901 ops/s
Iteration   4: 83865.330 ops/s
Iteration   5: 83944.346 ops/s
Iteration   6: 84006.280 ops/s
Iteration   7: 82790.682 ops/s
Iteration   8: 83924.396 ops/s
Iteration   9: 83806.622 ops/s
Iteration  10: 83881.321 ops/s
Iteration  11: 83890.062 ops/s
Iteration  12: 83603.155 ops/s
Iteration  13: 83272.356 ops/s
Iteration  14: 83977.470 ops/s
Iteration  15: 83883.755 ops/s
Iteration  16: 83900.727 ops/s
Iteration  17: 83677.288 ops/s
Iteration  18: 83258.848 ops/s
Iteration  19: 83813.106 ops/s
Iteration  20: 83974.556 ops/s

# Run progress: 10.00% complete, ETA 00:24:10
# Fork: 5 of 10
# Warmup Iteration   1: 74566.284 ops/s
# Warmup Iteration   2: 79445.467 ops/s
# Warmup Iteration   3: 79886.030 ops/s
# Warmup Iteration   4: 80421.087 ops/s
# Warmup Iteration   5: 80698.099 ops/s
# Warmup Iteration   6: 80767.550 ops/s
# Warmup Iteration   7: 79327.137 ops/s
# Warmup Iteration   8: 80028.181 ops/s
# Warmup Iteration   9: 80764.165 ops/s
# Warmup Iteration  10: 80670.030 ops/s
# Warmup Iteration  11: 80634.202 ops/s
# Warmup Iteration  12: 80495.066 ops/s
# Warmup Iteration  13: 80110.909 ops/s
# Warmup Iteration  14: 80696.864 ops/s
# Warmup Iteration  15: 80435.309 ops/s
# Warmup Iteration  16: 80598.644 ops/s
# Warmup Iteration  17: 80380.131 ops/s
# Warmup Iteration  18: 79809.564 ops/s
# Warmup Iteration  19: 80646.330 ops/s
# Warmup Iteration  20: 80702.845 ops/s
Iteration   1: 80644.187 ops/s
Iteration   2: 80455.922 ops/s
Iteration   3: 79975.303 ops/s
Iteration   4: 80540.576 ops/s
Iteration   5: 80786.566 ops/s
Iteration   6: 80495.345 ops/s
Iteration   7: 80397.849 ops/s
Iteration   8: 79540.423 ops/s
Iteration   9: 80653.548 ops/s
Iteration  10: 80591.274 ops/s
Iteration  11: 80567.677 ops/s
Iteration  12: 80468.939 ops/s
Iteration  13: 79817.467 ops/s
Iteration  14: 80639.064 ops/s
Iteration  15: 80587.233 ops/s
Iteration  16: 80547.637 ops/s
Iteration  17: 78942.759 ops/s
Iteration  18: 80230.180 ops/s
Iteration  19: 80571.205 ops/s
Iteration  20: 80696.999 ops/s

# Run progress: 12.50% complete, ETA 00:23:29
# Fork: 6 of 10
# Warmup Iteration   1: 75133.474 ops/s
# Warmup Iteration   2: 79921.221 ops/s
# Warmup Iteration   3: 78391.497 ops/s
# Warmup Iteration   4: 78899.336 ops/s
# Warmup Iteration   5: 79105.691 ops/s
# Warmup Iteration   6: 80627.071 ops/s
# Warmup Iteration   7: 80634.064 ops/s
# Warmup Iteration   8: 77586.537 ops/s
# Warmup Iteration   9: 80603.460 ops/s
# Warmup Iteration  10: 80737.484 ops/s
# Warmup Iteration  11: 80477.598 ops/s
# Warmup Iteration  12: 80489.094 ops/s
# Warmup Iteration  13: 80133.325 ops/s
# Warmup Iteration  14: 80535.414 ops/s
# Warmup Iteration  15: 80613.777 ops/s
# Warmup Iteration  16: 80510.865 ops/s
# Warmup Iteration  17: 80401.881 ops/s
# Warmup Iteration  18: 79955.196 ops/s
# Warmup Iteration  19: 80646.656 ops/s
# Warmup Iteration  20: 80671.133 ops/s
Iteration   1: 80452.530 ops/s
Iteration   2: 80541.989 ops/s
Iteration   3: 79855.677 ops/s
Iteration   4: 78079.072 ops/s
Iteration   5: 80355.000 ops/s
Iteration   6: 80500.241 ops/s
Iteration   7: 80286.397 ops/s
Iteration   8: 80274.018 ops/s
Iteration   9: 80626.940 ops/s
Iteration  10: 80474.901 ops/s
Iteration  11: 80577.472 ops/s
Iteration  12: 80468.104 ops/s
Iteration  13: 80040.969 ops/s
Iteration  14: 80576.894 ops/s
Iteration  15: 80680.439 ops/s
Iteration  16: 80560.955 ops/s
Iteration  17: 80551.867 ops/s
Iteration  18: 79947.576 ops/s
Iteration  19: 78702.371 ops/s
Iteration  20: 80364.418 ops/s

# Run progress: 15.00% complete, ETA 00:22:49
# Fork: 7 of 10
# Warmup Iteration   1: 74984.073 ops/s
# Warmup Iteration   2: 79596.799 ops/s
# Warmup Iteration   3: 80525.408 ops/s
# Warmup Iteration   4: 80512.670 ops/s
# Warmup Iteration   5: 80634.354 ops/s
# Warmup Iteration   6: 80476.271 ops/s
# Warmup Iteration   7: 80039.451 ops/s
# Warmup Iteration   8: 80265.017 ops/s
# Warmup Iteration   9: 80767.882 ops/s
# Warmup Iteration  10: 80692.222 ops/s
# Warmup Iteration  11: 80458.193 ops/s
# Warmup Iteration  12: 79967.788 ops/s
# Warmup Iteration  13: 80667.057 ops/s
# Warmup Iteration  14: 80427.145 ops/s
# Warmup Iteration  15: 80536.067 ops/s
# Warmup Iteration  16: 80357.493 ops/s
# Warmup Iteration  17: 79848.780 ops/s
# Warmup Iteration  18: 80444.212 ops/s
# Warmup Iteration  19: 80575.335 ops/s
# Warmup Iteration  20: 80501.657 ops/s
Iteration   1: 80296.271 ops/s
Iteration   2: 79806.767 ops/s
Iteration   3: 80402.052 ops/s
Iteration   4: 80457.526 ops/s
Iteration   5: 80526.968 ops/s
Iteration   6: 80319.605 ops/s
Iteration   7: 79877.444 ops/s
Iteration   8: 80489.349 ops/s
Iteration   9: 80232.227 ops/s
Iteration  10: 80531.000 ops/s
Iteration  11: 80440.916 ops/s
Iteration  12: 79863.884 ops/s
Iteration  13: 80505.797 ops/s
Iteration  14: 80452.290 ops/s
Iteration  15: 80514.755 ops/s
Iteration  16: 80356.680 ops/s
Iteration  17: 79803.312 ops/s
Iteration  18: 80578.949 ops/s
Iteration  19: 80521.225 ops/s
Iteration  20: 80448.718 ops/s

# Run progress: 17.50% complete, ETA 00:22:08
# Fork: 8 of 10
# Warmup Iteration   1: 79011.325 ops/s
# Warmup Iteration   2: 82836.578 ops/s
# Warmup Iteration   3: 82057.538 ops/s
# Warmup Iteration   4: 81496.018 ops/s
# Warmup Iteration   5: 82091.475 ops/s
# Warmup Iteration   6: 81678.752 ops/s
# Warmup Iteration   7: 80227.551 ops/s
# Warmup Iteration   8: 81614.746 ops/s
# Warmup Iteration   9: 80318.779 ops/s
# Warmup Iteration  10: 82126.510 ops/s
# Warmup Iteration  11: 81818.278 ops/s
# Warmup Iteration  12: 81521.764 ops/s
# Warmup Iteration  13: 82137.845 ops/s
# Warmup Iteration  14: 82021.607 ops/s
# Warmup Iteration  15: 81793.330 ops/s
# Warmup Iteration  16: 81737.662 ops/s
# Warmup Iteration  17: 81322.518 ops/s
# Warmup Iteration  18: 81835.930 ops/s
