# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 76499.977 ops/s
# Warmup Iteration   2: 82694.912 ops/s
# Warmup Iteration   3: 82626.930 ops/s
# Warmup Iteration   4: 82821.469 ops/s
# Warmup Iteration   5: 83516.804 ops/s
# Warmup Iteration   6: 83401.671 ops/s
# Warmup Iteration   7: 83200.219 ops/s
# Warmup Iteration   8: 82779.036 ops/s
# Warmup Iteration   9: 81318.728 ops/s
# Warmup Iteration  10: 83285.296 ops/s
# Warmup Iteration  11: 83242.119 ops/s
# Warmup Iteration  12: 83192.865 ops/s
# Warmup Iteration  13: 82792.853 ops/s
# Warmup Iteration  14: 83303.092 ops/s
# Warmup Iteration  15: 83174.883 ops/s
# Warmup Iteration  16: 83280.473 ops/s
# Warmup Iteration  17: 83100.369 ops/s
# Warmup Iteration  18: 82524.617 ops/s
# Warmup Iteration  19: 83149.362 ops/s
# Warmup Iteration  20: 82919.635 ops/s
Iteration   1: 83182.594 ops/s
Iteration   2: 83084.953 ops/s
Iteration   3: 82647.440 ops/s
Iteration   4: 83124.063 ops/s
Iteration   5: 83149.380 ops/s
Iteration   6: 83217.554 ops/s
Iteration   7: 83213.404 ops/s
Iteration   8: 82652.597 ops/s
Iteration   9: 83333.419 ops/s
Iteration  10: 83160.799 ops/s
Iteration  11: 83157.000 ops/s
Iteration  12: 83143.314 ops/s
Iteration  13: 82582.483 ops/s
Iteration  14: 83100.854 ops/s
Iteration  15: 82998.936 ops/s
Iteration  16: 83268.516 ops/s
Iteration  17: 83208.411 ops/s
Iteration  18: 82559.847 ops/s
Iteration  19: 83215.911 ops/s
Iteration  20: 83241.688 ops/s

# Run progress: 2.50% complete, ETA 00:26:12
# Fork: 2 of 10
# Warmup Iteration   1: 74233.521 ops/s
# Warmup Iteration   2: 80115.021 ops/s
# Warmup Iteration   3: 79891.483 ops/s
# Warmup Iteration   4: 80577.707 ops/s
# Warmup Iteration   5: 80745.407 ops/s
# Warmup Iteration   6: 80533.149 ops/s
# Warmup Iteration   7: 80612.465 ops/s
# Warmup Iteration   8: 80279.317 ops/s
# Warmup Iteration   9: 80572.968 ops/s
# Warmup Iteration  10: 80419.568 ops/s
# Warmup Iteration  11: 80649.437 ops/s
# Warmup Iteration  12: 80539.945 ops/s
# Warmup Iteration  13: 80447.922 ops/s
# Warmup Iteration  14: 79104.070 ops/s
# Warmup Iteration  15: 80371.111 ops/s
# Warmup Iteration  16: 79411.294 ops/s
# Warmup Iteration  17: 80219.014 ops/s
# Warmup Iteration  18: 79574.882 ops/s
