# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testExp1

# Run progress: 0.00% complete, ETA 00:26:40
# Fork: 1 of 10
# Warmup Iteration   1: 77377.494 ops/s
# Warmup Iteration   2: 82199.904 ops/s
# Warmup Iteration   3: 80787.306 ops/s
# Warmup Iteration   4: 81428.541 ops/s
# Warmup Iteration   5: 79772.796 ops/s
# Warmup Iteration   6: 81585.634 ops/s
# Warmup Iteration   7: 81239.504 ops/s
# Warmup Iteration   8: 80920.194 ops/s
# Warmup Iteration   9: 81520.002 ops/s
# Warmup Iteration  10: 81498.795 ops/s
# Warmup Iteration  11: 81457.114 ops/s
# Warmup Iteration  12: 81139.914 ops/s
# Warmup Iteration  13: 80840.930 ops/s
# Warmup Iteration  14: 81467.708 ops/s
# Warmup Iteration  15: 81357.299 ops/s
# Warmup Iteration  16: 80968.916 ops/s
# Warmup Iteration  17: 80788.271 ops/s
# Warmup Iteration  18: 77407.403 ops/s
# Warmup Iteration  19: 81196.705 ops/s
# Warmup Iteration  20: 81269.801 ops/s
Iteration   1: 81328.599 ops/s
Iteration   2: 80232.481 ops/s
Iteration   3: 78456.805 ops/s
Iteration   4: 79871.487 ops/s
Iteration   5: 81328.381 ops/s
Iteration   6: 81319.264 ops/s
Iteration   7: 80685.024 ops/s
Iteration   8: 80462.612 ops/s
Iteration   9: 81510.467 ops/s
Iteration  10: 81372.643 ops/s
Iteration  11: 79622.864 ops/s
Iteration  12: 80997.783 ops/s
Iteration  13: 80911.105 ops/s
Iteration  14: 81108.127 ops/s
Iteration  15: 81570.183 ops/s
Iteration  16: 81617.178 ops/s
Iteration  17: 81361.035 ops/s
Iteration  18: 80899.099 ops/s
Iteration  19: 81299.519 ops/s
Iteration  20: 81164.853 ops/s

# Run progress: 2.50% complete, ETA 00:26:13
# Fork: 2 of 10
# Warmup Iteration   1: 73646.940 ops/s
# Warmup Iteration   2: 78714.766 ops/s
# Warmup Iteration   3: 78542.409 ops/s
# Warmup Iteration   4: 79607.953 ops/s
# Warmup Iteration   5: 79717.639 ops/s
# Warmup Iteration   6: 79738.138 ops/s
# Warmup Iteration   7: 79509.908 ops/s
# Warmup Iteration   8: 78613.705 ops/s
# Warmup Iteration   9: 79236.394 ops/s
# Warmup Iteration  10: 79652.444 ops/s
# Warmup Iteration  11: 79183.537 ops/s
# Warmup Iteration  12: 79341.818 ops/s
# Warmup Iteration  13: 78917.108 ops/s
# Warmup Iteration  14: 79561.865 ops/s
# Warmup Iteration  15: 79477.606 ops/s
# Warmup Iteration  16: 79476.476 ops/s
# Warmup Iteration  17: 78619.712 ops/s
# Warmup Iteration  18: 78855.729 ops/s
# Warmup Iteration  19: 79367.255 ops/s
# Warmup Iteration  20: 78587.234 ops/s
Iteration   1: 79257.343 ops/s
Iteration   2: 79585.731 ops/s
Iteration   3: 79152.971 ops/s
Iteration   4: 79501.114 ops/s
Iteration   5: 79551.388 ops/s
Iteration   6: 78283.877 ops/s
Iteration   7: 77975.600 ops/s
Iteration   8: 77424.204 ops/s
Iteration   9: 77890.785 ops/s
Iteration  10: 78310.211 ops/s
Iteration  11: 78407.974 ops/s
Iteration  12: 78583.728 ops/s
Iteration  13: 78948.773 ops/s
Iteration  14: 79700.635 ops/s
Iteration  15: 79751.644 ops/s
Iteration  16: 79840.344 ops/s
Iteration  17: 79575.644 ops/s
Iteration  18: 78893.166 ops/s
Iteration  19: 79571.522 ops/s
Iteration  20: 77816.521 ops/s

# Run progress: 5.00% complete, ETA 00:25:30
# Fork: 3 of 10
# Warmup Iteration   1: 77247.978 ops/s
# Warmup Iteration   2: 82371.700 ops/s
# Warmup Iteration   3: 80967.663 ops/s
# Warmup Iteration   4: 81432.446 ops/s
# Warmup Iteration   5: 81750.818 ops/s
# Warmup Iteration   6: 81445.268 ops/s
# Warmup Iteration   7: 81356.313 ops/s
# Warmup Iteration   8: 80745.804 ops/s
# Warmup Iteration   9: 81635.268 ops/s
# Warmup Iteration  10: 81603.820 ops/s
# Warmup Iteration  11: 81690.065 ops/s
# Warmup Iteration  12: 81420.161 ops/s
# Warmup Iteration  13: 81331.920 ops/s
# Warmup Iteration  14: 81602.129 ops/s
# Warmup Iteration  15: 81617.054 ops/s
# Warmup Iteration  16: 81557.838 ops/s
# Warmup Iteration  17: 80880.263 ops/s
# Warmup Iteration  18: 81096.781 ops/s
# Warmup Iteration  19: 81508.590 ops/s
# Warmup Iteration  20: 81378.219 ops/s
Iteration   1: 81436.104 ops/s
Iteration   2: 81183.529 ops/s
Iteration   3: 80636.436 ops/s
Iteration   4: 81121.296 ops/s
Iteration   5: 81315.974 ops/s
Iteration   6: 81374.712 ops/s
Iteration   7: 81152.461 ops/s
Iteration   8: 80979.960 ops/s
Iteration   9: 79821.661 ops/s
Iteration  10: 81465.976 ops/s
Iteration  11: 81252.257 ops/s
Iteration  12: 77901.497 ops/s
Iteration  13: 81126.596 ops/s
Iteration  14: 81506.881 ops/s
Iteration  15: 81450.262 ops/s
Iteration  16: 81492.037 ops/s
Iteration  17: 81148.956 ops/s
Iteration  18: 80814.329 ops/s
Iteration  19: 81145.414 ops/s
Iteration  20: 81026.371 ops/s

# Run progress: 7.50% complete, ETA 00:24:50
# Fork: 4 of 10
# Warmup Iteration   1: 72856.146 ops/s
# Warmup Iteration   2: 78202.786 ops/s
# Warmup Iteration   3: 79883.887 ops/s
# Warmup Iteration   4: 80263.845 ops/s
# Warmup Iteration   5: 79836.630 ops/s
# Warmup Iteration   6: 79857.083 ops/s
# Warmup Iteration   7: 79117.567 ops/s
# Warmup Iteration   8: 79901.242 ops/s
# Warmup Iteration   9: 79850.985 ops/s
# Warmup Iteration  10: 80010.473 ops/s
# Warmup Iteration  11: 78448.742 ops/s
# Warmup Iteration  12: 79307.936 ops/s
# Warmup Iteration  13: 79887.145 ops/s
# Warmup Iteration  14: 79655.257 ops/s
# Warmup Iteration  15: 79649.019 ops/s
# Warmup Iteration  16: 79726.891 ops/s
# Warmup Iteration  17: 79174.371 ops/s
# Warmup Iteration  18: 79722.751 ops/s
# Warmup Iteration  19: 79695.093 ops/s
# Warmup Iteration  20: 79795.068 ops/s
Iteration   1: 79724.932 ops/s
Iteration   2: 79046.264 ops/s
Iteration   3: 79496.783 ops/s
Iteration   4: 79656.779 ops/s
Iteration   5: 79773.792 ops/s
Iteration   6: 79735.532 ops/s
Iteration   7: 79102.358 ops/s
Iteration   8: 79698.683 ops/s
Iteration   9: 79537.949 ops/s
Iteration  10: 79867.429 ops/s
Iteration  11: 79269.227 ops/s
Iteration  12: 78898.291 ops/s
Iteration  13: 79800.470 ops/s
Iteration  14: 78134.539 ops/s
Iteration  15: 79914.691 ops/s
Iteration  16: 79662.174 ops/s
Iteration  17: 79073.837 ops/s
Iteration  18: 79596.310 ops/s
Iteration  19: 79781.409 ops/s
Iteration  20: 79663.087 ops/s

# Run progress: 10.00% complete, ETA 00:24:09
# Fork: 5 of 10
# Warmup Iteration   1: 72698.963 ops/s
# Warmup Iteration   2: 76996.295 ops/s
# Warmup Iteration   3: 78611.370 ops/s
# Warmup Iteration   4: 78014.900 ops/s
# Warmup Iteration   5: 78598.795 ops/s
# Warmup Iteration   6: 78369.228 ops/s
# Warmup Iteration   7: 77958.868 ops/s
# Warmup Iteration   8: 78611.929 ops/s
# Warmup Iteration   9: 78652.639 ops/s
# Warmup Iteration  10: 78513.547 ops/s
# Warmup Iteration  11: 78536.512 ops/s
# Warmup Iteration  12: 78071.708 ops/s
# Warmup Iteration  13: 78638.617 ops/s
# Warmup Iteration  14: 78734.475 ops/s
# Warmup Iteration  15: 78741.500 ops/s
# Warmup Iteration  16: 78562.350 ops/s
# Warmup Iteration  17: 76191.751 ops/s
# Warmup Iteration  18: 77379.586 ops/s
# Warmup Iteration  19: 78539.893 ops/s
# Warmup Iteration  20: 78893.653 ops/s
Iteration   1: 78703.455 ops/s
Iteration   2: 78200.434 ops/s
Iteration   3: 78880.715 ops/s
Iteration   4: 77128.941 ops/s
Iteration   5: 78719.851 ops/s
Iteration   6: 78730.025 ops/s
Iteration   7: 78262.737 ops/s
Iteration   8: 77375.857 ops/s
Iteration   9: 78919.080 ops/s
Iteration  10: 78836.490 ops/s
Iteration  11: 78705.964 ops/s
Iteration  12: 77656.724 ops/s
