# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 19929.908 ops/s
# Warmup Iteration   2: 21524.144 ops/s
# Warmup Iteration   3: 21568.697 ops/s
# Warmup Iteration   4: 21431.824 ops/s
# Warmup Iteration   5: 21246.269 ops/s
# Warmup Iteration   6: 21469.993 ops/s
# Warmup Iteration   7: 21566.470 ops/s
# Warmup Iteration   8: 21555.039 ops/s
# Warmup Iteration   9: 21561.781 ops/s
# Warmup Iteration  10: 21433.298 ops/s
# Warmup Iteration  11: 21516.719 ops/s
# Warmup Iteration  12: 21522.748 ops/s
# Warmup Iteration  13: 21539.356 ops/s
# Warmup Iteration  14: 21462.893 ops/s
# Warmup Iteration  15: 21407.665 ops/s
# Warmup Iteration  16: 21551.170 ops/s
# Warmup Iteration  17: 21570.700 ops/s
# Warmup Iteration  18: 21623.484 ops/s
# Warmup Iteration  19: 21566.585 ops/s
# Warmup Iteration  20: 21430.259 ops/s
Iteration   1: 21485.282 ops/s
Iteration   2: 21520.094 ops/s
Iteration   3: 21606.488 ops/s
Iteration   4: 21100.491 ops/s
Iteration   5: 21444.429 ops/s
Iteration   6: 21601.555 ops/s
Iteration   7: 21557.180 ops/s
Iteration   8: 21557.705 ops/s
Iteration   9: 21579.537 ops/s
Iteration  10: 21325.090 ops/s
Iteration  11: 21625.230 ops/s
Iteration  12: 21164.738 ops/s
Iteration  13: 21608.377 ops/s
Iteration  14: 21558.770 ops/s
Iteration  15: 21553.218 ops/s
Iteration  16: 21541.358 ops/s
Iteration  17: 21573.822 ops/s
Iteration  18: 21596.459 ops/s
Iteration  19: 21502.124 ops/s
Iteration  20: 21488.655 ops/s

# Run progress: 1.11% complete, ETA 00:59:48
# Fork: 2 of 10
# Warmup Iteration   1: 20034.001 ops/s
# Warmup Iteration   2: 21761.768 ops/s
# Warmup Iteration   3: 21287.131 ops/s
# Warmup Iteration   4: 21287.515 ops/s
# Warmup Iteration   5: 21216.344 ops/s
# Warmup Iteration   6: 20612.941 ops/s
# Warmup Iteration   7: 21304.646 ops/s
# Warmup Iteration   8: 21333.394 ops/s
# Warmup Iteration   9: 21346.318 ops/s
# Warmup Iteration  10: 21215.476 ops/s
# Warmup Iteration  11: 21378.873 ops/s
# Warmup Iteration  12: 20672.619 ops/s
# Warmup Iteration  13: 21217.831 ops/s
