# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 16449.148 ops/s
# Warmup Iteration   2: 17286.793 ops/s
# Warmup Iteration   3: 17351.936 ops/s
# Warmup Iteration   4: 17346.249 ops/s
# Warmup Iteration   5: 17348.817 ops/s
# Warmup Iteration   6: 17386.978 ops/s
# Warmup Iteration   7: 17363.084 ops/s
# Warmup Iteration   8: 17262.226 ops/s
# Warmup Iteration   9: 17368.252 ops/s
# Warmup Iteration  10: 17413.240 ops/s
# Warmup Iteration  11: 17394.404 ops/s
# Warmup Iteration  12: 17395.781 ops/s
# Warmup Iteration  13: 17388.542 ops/s
# Warmup Iteration  14: 17396.471 ops/s
# Warmup Iteration  15: 17395.050 ops/s
# Warmup Iteration  16: 17389.998 ops/s
# Warmup Iteration  17: 17365.472 ops/s
# Warmup Iteration  18: 17388.260 ops/s
# Warmup Iteration  19: 17361.946 ops/s
# Warmup Iteration  20: 17377.981 ops/s
Iteration   1: 17365.120 ops/s
Iteration   2: 17369.644 ops/s
Iteration   3: 17374.293 ops/s
Iteration   4: 17374.023 ops/s
Iteration   5: 17373.893 ops/s
Iteration   6: 17374.424 ops/s
Iteration   7: 17374.934 ops/s
Iteration   8: 17380.925 ops/s
Iteration   9: 17374.270 ops/s
Iteration  10: 17369.824 ops/s
Iteration  11: 17373.561 ops/s
Iteration  12: 17362.204 ops/s
Iteration  13: 17377.561 ops/s
Iteration  14: 17372.827 ops/s
Iteration  15: 17374.295 ops/s
Iteration  16: 17361.129 ops/s
Iteration  17: 17374.642 ops/s
Iteration  18: 17373.949 ops/s
Iteration  19: 17374.742 ops/s
Iteration  20: 17363.106 ops/s

# Run progress: 1.11% complete, ETA 00:59:50
# Fork: 2 of 10
# Warmup Iteration   1: 15763.554 ops/s
# Warmup Iteration   2: 16973.102 ops/s
# Warmup Iteration   3: 17264.688 ops/s
# Warmup Iteration   4: 17153.049 ops/s
# Warmup Iteration   5: 17216.133 ops/s
# Warmup Iteration   6: 17308.453 ops/s
# Warmup Iteration   7: 17276.933 ops/s
# Warmup Iteration   8: 17277.943 ops/s
# Warmup Iteration   9: 17302.215 ops/s
# Warmup Iteration  10: 17312.762 ops/s
# Warmup Iteration  11: 17252.502 ops/s
# Warmup Iteration  12: 17304.902 ops/s
# Warmup Iteration  13: 17296.954 ops/s
# Warmup Iteration  14: 17302.393 ops/s
# Warmup Iteration  15: 17301.522 ops/s
# Warmup Iteration  16: 17316.048 ops/s
# Warmup Iteration  17: 17298.921 ops/s
# Warmup Iteration  18: 17324.600 ops/s
# Warmup Iteration  19: 17308.215 ops/s
# Warmup Iteration  20: 17317.662 ops/s
Iteration   1: 17317.797 ops/s
Iteration   2: 17303.451 ops/s
Iteration   3: 17304.370 ops/s
Iteration   4: 17270.986 ops/s
Iteration   5: 17304.162 ops/s
Iteration   6: 17314.615 ops/s
Iteration   7: 17327.501 ops/s
Iteration   8: 17283.381 ops/s
Iteration   9: 17315.984 ops/s
Iteration  10: 17324.249 ops/s
Iteration  11: 17323.578 ops/s
Iteration  12: 17295.633 ops/s
Iteration  13: 17299.354 ops/s
Iteration  14: 17301.640 ops/s
Iteration  15: 17319.730 ops/s
Iteration  16: 17310.420 ops/s
Iteration  17: 17307.529 ops/s
