# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 20324.682 ops/s
# Warmup Iteration   2: 21625.497 ops/s
# Warmup Iteration   3: 21406.651 ops/s
# Warmup Iteration   4: 22023.213 ops/s
# Warmup Iteration   5: 21176.099 ops/s
# Warmup Iteration   6: 21763.012 ops/s
# Warmup Iteration   7: 21833.196 ops/s
# Warmup Iteration   8: 21975.995 ops/s
# Warmup Iteration   9: 21872.148 ops/s
# Warmup Iteration  10: 21949.051 ops/s
# Warmup Iteration  11: 21917.059 ops/s
# Warmup Iteration  12: 21869.411 ops/s
# Warmup Iteration  13: 22049.122 ops/s
# Warmup Iteration  14: 22018.886 ops/s
# Warmup Iteration  15: 21887.209 ops/s
# Warmup Iteration  16: 21768.648 ops/s
# Warmup Iteration  17: 21004.508 ops/s
# Warmup Iteration  18: 21209.292 ops/s
# Warmup Iteration  19: 21243.224 ops/s
# Warmup Iteration  20: 21142.729 ops/s
Iteration   1: 21107.936 ops/s
Iteration   2: 21041.404 ops/s
Iteration   3: 21185.125 ops/s
Iteration   4: 21189.560 ops/s
Iteration   5: 21153.765 ops/s
Iteration   6: 21098.564 ops/s
Iteration   7: 20887.479 ops/s
Iteration   8: 21161.946 ops/s
Iteration   9: 21197.064 ops/s
Iteration  10: 21154.509 ops/s
Iteration  11: 21079.774 ops/s
Iteration  12: 20996.274 ops/s
Iteration  13: 21123.522 ops/s
Iteration  14: 21213.629 ops/s
Iteration  15: 21252.822 ops/s
Iteration  16: 21101.021 ops/s
Iteration  17: 20676.258 ops/s
Iteration  18: 21173.390 ops/s
Iteration  19: 21303.346 ops/s
Iteration  20: 21239.915 ops/s

# Run progress: 1.11% complete, ETA 00:59:49
# Fork: 2 of 10
# Warmup Iteration   1: 19895.975 ops/s
# Warmup Iteration   2: 21571.179 ops/s
# Warmup Iteration   3: 21759.014 ops/s
# Warmup Iteration   4: 21257.937 ops/s
# Warmup Iteration   5: 21759.000 ops/s
# Warmup Iteration   6: 21476.625 ops/s
# Warmup Iteration   7: 21347.503 ops/s
# Warmup Iteration   8: 21585.449 ops/s
# Warmup Iteration   9: 21580.357 ops/s
# Warmup Iteration  10: 21619.711 ops/s
# Warmup Iteration  11: 21588.989 ops/s
# Warmup Iteration  12: 21637.417 ops/s
# Warmup Iteration  13: 21429.023 ops/s
