# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 19878.843 ops/s
# Warmup Iteration   2: 21970.536 ops/s
# Warmup Iteration   3: 21841.719 ops/s
# Warmup Iteration   4: 22032.181 ops/s
# Warmup Iteration   5: 21866.184 ops/s
# Warmup Iteration   6: 21922.131 ops/s
# Warmup Iteration   7: 21930.587 ops/s
# Warmup Iteration   8: 21849.745 ops/s
# Warmup Iteration   9: 22083.158 ops/s
# Warmup Iteration  10: 21847.300 ops/s
# Warmup Iteration  11: 22053.835 ops/s
# Warmup Iteration  12: 22007.147 ops/s
# Warmup Iteration  13: 21907.497 ops/s
# Warmup Iteration  14: 22064.691 ops/s
# Warmup Iteration  15: 22069.605 ops/s
# Warmup Iteration  16: 22012.482 ops/s
# Warmup Iteration  17: 21491.827 ops/s
# Warmup Iteration  18: 21446.939 ops/s
# Warmup Iteration  19: 21623.663 ops/s
# Warmup Iteration  20: 21577.549 ops/s
Iteration   1: 21539.914 ops/s
Iteration   2: 21470.215 ops/s
Iteration   3: 21427.830 ops/s
Iteration   4: 21574.405 ops/s
Iteration   5: 21587.927 ops/s
Iteration   6: 21577.279 ops/s
Iteration   7: 21539.089 ops/s
Iteration   8: 21451.123 ops/s
Iteration   9: 21551.656 ops/s
Iteration  10: 21598.675 ops/s
Iteration  11: 21564.655 ops/s
Iteration  12: 21512.588 ops/s
Iteration  13: 21432.551 ops/s
Iteration  14: 21582.572 ops/s
Iteration  15: 21593.406 ops/s
Iteration  16: 21594.857 ops/s
Iteration  17: 21426.848 ops/s
Iteration  18: 21407.855 ops/s
Iteration  19: 21552.548 ops/s
Iteration  20: 21576.512 ops/s

# Run progress: 1.11% complete, ETA 00:59:50
# Fork: 2 of 10
# Warmup Iteration   1: 20246.611 ops/s
# Warmup Iteration   2: 21946.491 ops/s
# Warmup Iteration   3: 21965.244 ops/s
# Warmup Iteration   4: 22116.510 ops/s
# Warmup Iteration   5: 22060.970 ops/s
# Warmup Iteration   6: 22094.764 ops/s
# Warmup Iteration   7: 21982.950 ops/s
# Warmup Iteration   8: 22004.103 ops/s
# Warmup Iteration   9: 22143.918 ops/s
# Warmup Iteration  10: 22136.232 ops/s
# Warmup Iteration  11: 22108.997 ops/s
# Warmup Iteration  12: 22003.705 ops/s
# Warmup Iteration  13: 21966.474 ops/s
# Warmup Iteration  14: 22132.847 ops/s
# Warmup Iteration  15: 22121.864 ops/s
# Warmup Iteration  16: 22111.266 ops/s
# Warmup Iteration  17: 22081.754 ops/s
# Warmup Iteration  18: 21960.725 ops/s
# Warmup Iteration  19: 22082.228 ops/s
# Warmup Iteration  20: 22142.679 ops/s
Iteration   1: 18720.252 ops/s
Iteration   2: 22041.909 ops/s
Iteration   3: 21958.925 ops/s
Iteration   4: 22100.598 ops/s
Iteration   5: 22128.225 ops/s
Iteration   6: 22091.326 ops/s
Iteration   7: 22063.517 ops/s
Iteration   8: 21888.109 ops/s
Iteration   9: 22117.739 ops/s
Iteration  10: 22096.062 ops/s
Iteration  11: 22073.757 ops/s
Iteration  12: 20439.987 ops/s
Iteration  13: 18952.826 ops/s
Iteration  14: 22152.219 ops/s
Iteration  15: 22102.748 ops/s
Iteration  16: 22106.529 ops/s
Iteration  17: 22048.680 ops/s
Iteration  18: 21957.496 ops/s
Iteration  19: 22090.881 ops/s
Iteration  20: 21621.364 ops/s

# Run progress: 2.22% complete, ETA 00:59:06
# Fork: 3 of 10
# Warmup Iteration   1: 17926.607 ops/s
# Warmup Iteration   2: 19190.149 ops/s
# Warmup Iteration   3: 19253.970 ops/s
# Warmup Iteration   4: 19208.064 ops/s
# Warmup Iteration   5: 19353.670 ops/s
# Warmup Iteration   6: 19293.288 ops/s
# Warmup Iteration   7: 18708.593 ops/s
# Warmup Iteration   8: 19298.485 ops/s
# Warmup Iteration   9: 16255.565 ops/s
# Warmup Iteration  10: 18190.800 ops/s
# Warmup Iteration  11: 18391.418 ops/s
# Warmup Iteration  12: 17513.686 ops/s
# Warmup Iteration  13: 18589.879 ops/s
# Warmup Iteration  14: 18431.524 ops/s
# Warmup Iteration  15: 18472.472 ops/s
# Warmup Iteration  16: 18339.931 ops/s
# Warmup Iteration  17: 18654.114 ops/s
