# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 16083.140 ops/s
# Warmup Iteration   2: 17167.960 ops/s
# Warmup Iteration   3: 17273.341 ops/s
# Warmup Iteration   4: 17261.974 ops/s
# Warmup Iteration   5: 17340.594 ops/s
# Warmup Iteration   6: 17304.748 ops/s
# Warmup Iteration   7: 17296.508 ops/s
# Warmup Iteration   8: 17324.629 ops/s
# Warmup Iteration   9: 17288.406 ops/s
# Warmup Iteration  10: 17230.972 ops/s
# Warmup Iteration  11: 17227.172 ops/s
# Warmup Iteration  12: 17221.072 ops/s
# Warmup Iteration  13: 17217.364 ops/s
# Warmup Iteration  14: 17208.342 ops/s
# Warmup Iteration  15: 17221.597 ops/s
# Warmup Iteration  16: 13613.357 ops/s
# Warmup Iteration  17: 16612.556 ops/s
# Warmup Iteration  18: 17331.539 ops/s
# Warmup Iteration  19: 17341.889 ops/s
# Warmup Iteration  20: 17330.772 ops/s
Iteration   1: 17341.189 ops/s
Iteration   2: 17333.581 ops/s
Iteration   3: 17336.467 ops/s
Iteration   4: 17340.757 ops/s
Iteration   5: 17330.956 ops/s
Iteration   6: 17331.874 ops/s
Iteration   7: 17335.571 ops/s
Iteration   8: 14440.347 ops/s
Iteration   9: 16467.058 ops/s
Iteration  10: 16726.875 ops/s
Iteration  11: 17335.694 ops/s
Iteration  12: 16074.615 ops/s
Iteration  13: 17341.438 ops/s
Iteration  14: 17345.345 ops/s
Iteration  15: 17346.663 ops/s
Iteration  16: 16846.740 ops/s
Iteration  17: 17333.098 ops/s
Iteration  18: 17326.275 ops/s
Iteration  19: 17332.795 ops/s
Iteration  20: 14409.450 ops/s

# Run progress: 1.11% complete, ETA 00:59:51
# Fork: 2 of 10
# Warmup Iteration   1: 16038.299 ops/s
# Warmup Iteration   2: 16980.368 ops/s
# Warmup Iteration   3: 17054.114 ops/s
# Warmup Iteration   4: 17005.990 ops/s
# Warmup Iteration   5: 17111.794 ops/s
# Warmup Iteration   6: 17075.122 ops/s
# Warmup Iteration   7: 16815.292 ops/s
# Warmup Iteration   8: 16690.259 ops/s
# Warmup Iteration   9: 17074.478 ops/s
# Warmup Iteration  10: 17138.307 ops/s
# Warmup Iteration  11: 17126.356 ops/s
# Warmup Iteration  12: 17115.231 ops/s
# Warmup Iteration  13: 17126.659 ops/s
# Warmup Iteration  14: 17115.866 ops/s
# Warmup Iteration  15: 17127.176 ops/s
# Warmup Iteration  16: 17139.620 ops/s
# Warmup Iteration  17: 17128.854 ops/s
# Warmup Iteration  18: 17121.170 ops/s
# Warmup Iteration  19: 17125.583 ops/s
# Warmup Iteration  20: 17125.035 ops/s
Iteration   1: 17118.112 ops/s
Iteration   2: 17115.288 ops/s
Iteration   3: 17113.816 ops/s
Iteration   4: 17113.962 ops/s
Iteration   5: 17118.940 ops/s
Iteration   6: 17118.224 ops/s
Iteration   7: 16705.905 ops/s
