# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 15564.286 ops/s
# Warmup Iteration   2: 16552.491 ops/s
# Warmup Iteration   3: 16751.198 ops/s
# Warmup Iteration   4: 16761.830 ops/s
# Warmup Iteration   5: 16843.008 ops/s
# Warmup Iteration   6: 14725.154 ops/s
# Warmup Iteration   7: 16765.636 ops/s
# Warmup Iteration   8: 16731.380 ops/s
# Warmup Iteration   9: 16201.225 ops/s
# Warmup Iteration  10: 16744.488 ops/s
# Warmup Iteration  11: 16750.748 ops/s
# Warmup Iteration  12: 16767.346 ops/s
# Warmup Iteration  13: 16780.824 ops/s
# Warmup Iteration  14: 16775.983 ops/s
# Warmup Iteration  15: 16752.537 ops/s
# Warmup Iteration  16: 16762.004 ops/s
# Warmup Iteration  17: 16743.835 ops/s
# Warmup Iteration  18: 16766.849 ops/s
# Warmup Iteration  19: 16772.894 ops/s
# Warmup Iteration  20: 16767.003 ops/s
Iteration   1: 14479.875 ops/s
Iteration   2: 16763.219 ops/s
Iteration   3: 16774.860 ops/s
Iteration   4: 16759.830 ops/s
Iteration   5: 16754.398 ops/s
Iteration   6: 16736.334 ops/s
Iteration   7: 16750.237 ops/s
Iteration   8: 16759.057 ops/s
Iteration   9: 16743.299 ops/s
Iteration  10: 16760.974 ops/s
Iteration  11: 16764.722 ops/s
Iteration  12: 16755.365 ops/s
Iteration  13: 15341.273 ops/s
Iteration  14: 16763.811 ops/s
Iteration  15: 16771.431 ops/s
Iteration  16: 16769.591 ops/s
Iteration  17: 16777.955 ops/s
Iteration  18: 16770.477 ops/s
Iteration  19: 16763.131 ops/s
Iteration  20: 16776.673 ops/s

# Run progress: 1.11% complete, ETA 00:59:50
# Fork: 2 of 10
# Warmup Iteration   1: 16420.277 ops/s
# Warmup Iteration   2: 17245.407 ops/s
# Warmup Iteration   3: 17260.062 ops/s
# Warmup Iteration   4: 17258.586 ops/s
# Warmup Iteration   5: 17376.776 ops/s
# Warmup Iteration   6: 17361.639 ops/s
# Warmup Iteration   7: 17346.978 ops/s
# Warmup Iteration   8: 17368.575 ops/s
# Warmup Iteration   9: 17357.354 ops/s
# Warmup Iteration  10: 17392.738 ops/s
# Warmup Iteration  11: 17382.748 ops/s
# Warmup Iteration  12: 17380.438 ops/s
# Warmup Iteration  13: 17390.054 ops/s
# Warmup Iteration  14: 17389.611 ops/s
# Warmup Iteration  15: 17386.306 ops/s
# Warmup Iteration  16: 17381.962 ops/s
# Warmup Iteration  17: 17384.002 ops/s
# Warmup Iteration  18: 17373.112 ops/s
# Warmup Iteration  19: 17382.867 ops/s
# Warmup Iteration  20: 17389.352 ops/s
Iteration   1: 17378.680 ops/s
Iteration   2: 17377.291 ops/s
Iteration   3: 17383.464 ops/s
Iteration   4: 17378.078 ops/s
Iteration   5: 17386.176 ops/s
Iteration   6: 17374.142 ops/s
Iteration   7: 17378.239 ops/s
Iteration   8: 17388.445 ops/s
Iteration   9: 17374.556 ops/s
Iteration  10: 17383.807 ops/s
Iteration  11: 17384.444 ops/s
Iteration  12: 17358.365 ops/s
Iteration  13: 17376.023 ops/s
Iteration  14: 17370.955 ops/s
Iteration  15: 17379.231 ops/s
Iteration  16: 17365.312 ops/s
Iteration  17: 17383.146 ops/s
Iteration  18: 17380.917 ops/s
Iteration  19: 17381.983 ops/s
Iteration  20: 17374.659 ops/s

# Run progress: 2.22% complete, ETA 00:59:06
# Fork: 3 of 10
# Warmup Iteration   1: 16432.733 ops/s
# Warmup Iteration   2: 17236.686 ops/s
# Warmup Iteration   3: 17297.591 ops/s
# Warmup Iteration   4: 16775.419 ops/s
# Warmup Iteration   5: 17350.460 ops/s
# Warmup Iteration   6: 17335.837 ops/s
# Warmup Iteration   7: 17091.770 ops/s
# Warmup Iteration   8: 17158.052 ops/s
# Warmup Iteration   9: 17316.622 ops/s
# Warmup Iteration  10: 17353.899 ops/s
