# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 19474.565 ops/s
# Warmup Iteration   2: 21046.537 ops/s
# Warmup Iteration   3: 21102.637 ops/s
# Warmup Iteration   4: 20938.477 ops/s
# Warmup Iteration   5: 20660.832 ops/s
# Warmup Iteration   6: 21031.280 ops/s
# Warmup Iteration   7: 20966.313 ops/s
# Warmup Iteration   8: 20997.396 ops/s
# Warmup Iteration   9: 21095.538 ops/s
# Warmup Iteration  10: 20979.290 ops/s
# Warmup Iteration  11: 21108.316 ops/s
# Warmup Iteration  12: 21134.322 ops/s
# Warmup Iteration  13: 21094.631 ops/s
# Warmup Iteration  14: 20990.411 ops/s
# Warmup Iteration  15: 20988.518 ops/s
# Warmup Iteration  16: 21120.065 ops/s
# Warmup Iteration  17: 21063.672 ops/s
# Warmup Iteration  18: 21126.747 ops/s
# Warmup Iteration  19: 21092.967 ops/s
# Warmup Iteration  20: 20985.733 ops/s
Iteration   1: 21138.297 ops/s
Iteration   2: 21086.433 ops/s
Iteration   3: 21103.290 ops/s
Iteration   4: 21071.467 ops/s
Iteration   5: 20929.744 ops/s
Iteration   6: 21130.613 ops/s
Iteration   7: 21139.244 ops/s
Iteration   8: 21029.501 ops/s
Iteration   9: 21094.834 ops/s
Iteration  10: 20937.137 ops/s
Iteration  11: 21064.219 ops/s
Iteration  12: 21073.480 ops/s
Iteration  13: 21099.748 ops/s
Iteration  14: 21088.733 ops/s
Iteration  15: 20982.448 ops/s
Iteration  16: 21125.317 ops/s
Iteration  17: 21098.598 ops/s
Iteration  18: 21145.115 ops/s
Iteration  19: 21053.546 ops/s
Iteration  20: 20958.723 ops/s

# Run progress: 1.11% complete, ETA 00:59:48
# Fork: 2 of 10
# Warmup Iteration   1: 19742.503 ops/s
# Warmup Iteration   2: 22062.398 ops/s
# Warmup Iteration   3: 21567.998 ops/s
# Warmup Iteration   4: 21948.079 ops/s
# Warmup Iteration   5: 21964.643 ops/s
# Warmup Iteration   6: 20746.615 ops/s
# Warmup Iteration   7: 22067.588 ops/s
# Warmup Iteration   8: 22113.703 ops/s
# Warmup Iteration   9: 22096.112 ops/s
# Warmup Iteration  10: 21965.552 ops/s
# Warmup Iteration  11: 22077.897 ops/s
# Warmup Iteration  12: 22163.221 ops/s
# Warmup Iteration  13: 22157.621 ops/s
# Warmup Iteration  14: 22055.233 ops/s
# Warmup Iteration  15: 22063.838 ops/s
# Warmup Iteration  16: 22082.424 ops/s
# Warmup Iteration  17: 22136.323 ops/s
# Warmup Iteration  18: 21691.288 ops/s
# Warmup Iteration  19: 22121.552 ops/s
# Warmup Iteration  20: 22009.302 ops/s
Iteration   1: 22161.908 ops/s
Iteration   2: 22079.432 ops/s
Iteration   3: 22142.953 ops/s
Iteration   4: 22111.607 ops/s
Iteration   5: 22015.782 ops/s
Iteration   6: 22152.074 ops/s
Iteration   7: 22106.003 ops/s
Iteration   8: 22122.589 ops/s
Iteration   9: 22130.807 ops/s
Iteration  10: 21992.108 ops/s
Iteration  11: 22147.652 ops/s
Iteration  12: 22181.128 ops/s
Iteration  13: 22125.025 ops/s
Iteration  14: 22110.570 ops/s
Iteration  15: 21990.806 ops/s
Iteration  16: 22117.232 ops/s
Iteration  17: 22153.492 ops/s
Iteration  18: 22071.653 ops/s
Iteration  19: 22089.749 ops/s
Iteration  20: 21974.595 ops/s

# Run progress: 2.22% complete, ETA 00:59:06
# Fork: 3 of 10
# Warmup Iteration   1: 20288.502 ops/s
# Warmup Iteration   2: 22041.320 ops/s
# Warmup Iteration   3: 22081.648 ops/s
# Warmup Iteration   4: 22148.145 ops/s
# Warmup Iteration   5: 22001.934 ops/s
# Warmup Iteration   6: 22106.544 ops/s
# Warmup Iteration   7: 21978.695 ops/s
# Warmup Iteration   8: 22146.560 ops/s
# Warmup Iteration   9: 21588.892 ops/s
# Warmup Iteration  10: 21594.696 ops/s
# Warmup Iteration  11: 21963.634 ops/s
# Warmup Iteration  12: 22096.343 ops/s
# Warmup Iteration  13: 22043.395 ops/s
# Warmup Iteration  14: 22113.768 ops/s
# Warmup Iteration  15: 22055.881 ops/s
# Warmup Iteration  16: 22118.005 ops/s
# Warmup Iteration  17: 22163.609 ops/s
# Warmup Iteration  18: 22153.079 ops/s
# Warmup Iteration  19: 22081.342 ops/s
# Warmup Iteration  20: 22044.091 ops/s
Iteration   1: 22153.486 ops/s
Iteration   2: 22129.016 ops/s
Iteration   3: 22143.733 ops/s
Iteration   4: 22099.064 ops/s
Iteration   5: 22056.612 ops/s
Iteration   6: 22136.469 ops/s
Iteration   7: 22163.398 ops/s
Iteration   8: 22051.158 ops/s
Iteration   9: 22057.288 ops/s
Iteration  10: 22036.679 ops/s
Iteration  11: 22066.110 ops/s
Iteration  12: 22140.030 ops/s
Iteration  13: 22052.424 ops/s
Iteration  14: 22125.081 ops/s
Iteration  15: 22027.109 ops/s
Iteration  16: 22118.293 ops/s
Iteration  17: 22124.426 ops/s
Iteration  18: 22107.454 ops/s
Iteration  19: 22108.180 ops/s
Iteration  20: 22037.763 ops/s

# Run progress: 3.33% complete, ETA 00:58:24
# Fork: 4 of 10
# Warmup Iteration   1: 19595.644 ops/s
# Warmup Iteration   2: 20994.615 ops/s
# Warmup Iteration   3: 20955.567 ops/s
# Warmup Iteration   4: 20644.100 ops/s
# Warmup Iteration   5: 21054.101 ops/s
# Warmup Iteration   6: 21011.648 ops/s
# Warmup Iteration   7: 20648.388 ops/s
# Warmup Iteration   8: 20418.617 ops/s
# Warmup Iteration   9: 19702.429 ops/s
# Warmup Iteration  10: 20194.257 ops/s
# Warmup Iteration  11: 20123.845 ops/s
# Warmup Iteration  12: 20178.699 ops/s
# Warmup Iteration  13: 20126.468 ops/s
# Warmup Iteration  14: 20024.575 ops/s
# Warmup Iteration  15: 20123.793 ops/s
# Warmup Iteration  16: 20184.244 ops/s
# Warmup Iteration  17: 20756.624 ops/s
# Warmup Iteration  18: 20736.619 ops/s
# Warmup Iteration  19: 20609.482 ops/s
# Warmup Iteration  20: 20788.222 ops/s
Iteration   1: 20780.027 ops/s
Iteration   2: 20781.196 ops/s
Iteration   3: 20766.714 ops/s
Iteration   4: 20646.000 ops/s
Iteration   5: 20707.843 ops/s
Iteration   6: 20796.599 ops/s
Iteration   7: 20751.055 ops/s
Iteration   8: 20739.250 ops/s
Iteration   9: 20638.964 ops/s
Iteration  10: 20768.985 ops/s
Iteration  11: 20773.843 ops/s
Iteration  12: 20752.222 ops/s
Iteration  13: 20742.234 ops/s
Iteration  14: 20593.236 ops/s
Iteration  15: 20777.705 ops/s
Iteration  16: 20798.102 ops/s
Iteration  17: 20757.168 ops/s
Iteration  18: 20730.991 ops/s
Iteration  19: 20596.774 ops/s
Iteration  20: 20771.040 ops/s

# Run progress: 4.44% complete, ETA 00:57:44
# Fork: 5 of 10
# Warmup Iteration   1: 20147.036 ops/s
# Warmup Iteration   2: 22000.527 ops/s
# Warmup Iteration   3: 22061.656 ops/s
# Warmup Iteration   4: 21232.797 ops/s
# Warmup Iteration   5: 22029.345 ops/s
# Warmup Iteration   6: 21780.484 ops/s
# Warmup Iteration   7: 22025.645 ops/s
# Warmup Iteration   8: 21993.228 ops/s
# Warmup Iteration   9: 21859.022 ops/s
# Warmup Iteration  10: 22144.910 ops/s
# Warmup Iteration  11: 22097.391 ops/s
# Warmup Iteration  12: 22125.574 ops/s
# Warmup Iteration  13: 22105.807 ops/s
# Warmup Iteration  14: 21665.093 ops/s
# Warmup Iteration  15: 22048.013 ops/s
# Warmup Iteration  16: 22117.984 ops/s
# Warmup Iteration  17: 21003.928 ops/s
# Warmup Iteration  18: 20961.599 ops/s
# Warmup Iteration  19: 20834.959 ops/s
# Warmup Iteration  20: 21006.521 ops/s
Iteration   1: 20984.799 ops/s
Iteration   2: 21050.438 ops/s
Iteration   3: 20938.817 ops/s
Iteration   4: 20900.220 ops/s
Iteration   5: 21023.508 ops/s
Iteration   6: 20966.143 ops/s
Iteration   7: 21037.494 ops/s
Iteration   8: 20978.522 ops/s
Iteration   9: 20875.025 ops/s
Iteration  10: 21026.762 ops/s
Iteration  11: 21038.994 ops/s
Iteration  12: 21033.671 ops/s
Iteration  13: 21003.923 ops/s
Iteration  14: 20850.632 ops/s
Iteration  15: 21009.798 ops/s
Iteration  16: 21013.253 ops/s
Iteration  17: 21021.174 ops/s
Iteration  18: 21018.799 ops/s
Iteration  19: 20913.113 ops/s
