# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 15849.576 ops/s
# Warmup Iteration   2: 15806.070 ops/s
# Warmup Iteration   3: 16228.459 ops/s
# Warmup Iteration   4: 16469.806 ops/s
# Warmup Iteration   5: 16456.067 ops/s
# Warmup Iteration   6: 16445.469 ops/s
# Warmup Iteration   7: 16303.986 ops/s
# Warmup Iteration   8: 16530.587 ops/s
# Warmup Iteration   9: 16480.752 ops/s
# Warmup Iteration  10: 16490.091 ops/s
# Warmup Iteration  11: 16489.900 ops/s
# Warmup Iteration  12: 16366.683 ops/s
# Warmup Iteration  13: 16530.721 ops/s
# Warmup Iteration  14: 16515.114 ops/s
# Warmup Iteration  15: 16509.965 ops/s
# Warmup Iteration  16: 16472.503 ops/s
# Warmup Iteration  17: 16375.187 ops/s
# Warmup Iteration  18: 16321.882 ops/s
# Warmup Iteration  19: 16518.004 ops/s
# Warmup Iteration  20: 16478.926 ops/s
Iteration   1: 16475.399 ops/s
Iteration   2: 16368.021 ops/s
Iteration   3: 16506.702 ops/s
Iteration   4: 16505.997 ops/s
Iteration   5: 16502.678 ops/s
Iteration   6: 16486.787 ops/s
Iteration   7: 16382.755 ops/s
Iteration   8: 16491.845 ops/s
Iteration   9: 16497.528 ops/s
Iteration  10: 16449.117 ops/s
Iteration  11: 16463.644 ops/s
Iteration  12: 16366.825 ops/s
Iteration  13: 16383.540 ops/s
Iteration  14: 16479.840 ops/s
Iteration  15: 16493.453 ops/s
Iteration  16: 16095.320 ops/s
Iteration  17: 16382.415 ops/s
Iteration  18: 16507.549 ops/s
Iteration  19: 16494.639 ops/s
Iteration  20: 16491.461 ops/s

# Run progress: 1.11% complete, ETA 00:59:49
# Fork: 2 of 10
# Warmup Iteration   1: 19527.247 ops/s
# Warmup Iteration   2: 20416.179 ops/s
# Warmup Iteration   3: 20934.723 ops/s
# Warmup Iteration   4: 20955.257 ops/s
# Warmup Iteration   5: 20835.474 ops/s
# Warmup Iteration   6: 20731.768 ops/s
# Warmup Iteration   7: 20736.010 ops/s
# Warmup Iteration   8: 20795.551 ops/s
# Warmup Iteration   9: 20971.282 ops/s
# Warmup Iteration  10: 20978.402 ops/s
# Warmup Iteration  11: 20962.100 ops/s
# Warmup Iteration  12: 20816.320 ops/s
# Warmup Iteration  13: 20985.793 ops/s
# Warmup Iteration  14: 20958.661 ops/s
# Warmup Iteration  15: 20546.237 ops/s
# Warmup Iteration  16: 20943.526 ops/s
# Warmup Iteration  17: 20414.830 ops/s
# Warmup Iteration  18: 20569.615 ops/s
# Warmup Iteration  19: 20524.591 ops/s
# Warmup Iteration  20: 20527.607 ops/s
Iteration   1: 20524.679 ops/s
Iteration   2: 20450.187 ops/s
Iteration   3: 20146.508 ops/s
Iteration   4: 20511.484 ops/s
Iteration   5: 20433.554 ops/s
Iteration   6: 20561.248 ops/s
Iteration   7: 20488.886 ops/s
Iteration   8: 20568.573 ops/s
Iteration   9: 20260.170 ops/s
Iteration  10: 20533.259 ops/s
Iteration  11: 20476.576 ops/s
Iteration  12: 20494.294 ops/s
Iteration  13: 20551.830 ops/s
Iteration  14: 17838.624 ops/s
Iteration  15: 20529.446 ops/s
Iteration  16: 20548.085 ops/s
Iteration  17: 20462.569 ops/s
Iteration  18: 20521.629 ops/s
Iteration  19: 20495.394 ops/s
Iteration  20: 20520.948 ops/s

# Run progress: 2.22% complete, ETA 00:59:05
# Fork: 3 of 10
# Warmup Iteration   1: 20398.936 ops/s
# Warmup Iteration   2: 21522.561 ops/s
# Warmup Iteration   3: 21917.707 ops/s
# Warmup Iteration   4: 21619.514 ops/s
# Warmup Iteration   5: 21767.660 ops/s
# Warmup Iteration   6: 21525.207 ops/s
# Warmup Iteration   7: 21663.257 ops/s
# Warmup Iteration   8: 21891.876 ops/s
# Warmup Iteration   9: 21757.139 ops/s
# Warmup Iteration  10: 21928.913 ops/s
# Warmup Iteration  11: 21887.806 ops/s
# Warmup Iteration  12: 21769.551 ops/s
# Warmup Iteration  13: 21938.836 ops/s
# Warmup Iteration  14: 21908.628 ops/s
# Warmup Iteration  15: 21905.040 ops/s
# Warmup Iteration  16: 21465.027 ops/s
# Warmup Iteration  17: 21185.835 ops/s
# Warmup Iteration  18: 21499.619 ops/s
# Warmup Iteration  19: 21557.137 ops/s
# Warmup Iteration  20: 21202.236 ops/s
Iteration   1: 21532.405 ops/s
Iteration   2: 21372.811 ops/s
Iteration   3: 21566.011 ops/s
Iteration   4: 21436.414 ops/s
Iteration   5: 21575.065 ops/s
Iteration   6: 21602.572 ops/s
Iteration   7: 21500.396 ops/s
Iteration   8: 21609.227 ops/s
Iteration   9: 21564.776 ops/s
Iteration  10: 21620.031 ops/s
Iteration  11: 21451.709 ops/s
Iteration  12: 21528.861 ops/s
Iteration  13: 21592.079 ops/s
Iteration  14: 21595.349 ops/s
Iteration  15: 21603.890 ops/s
Iteration  16: 21463.649 ops/s
Iteration  17: 21356.001 ops/s
Iteration  18: 21017.376 ops/s
Iteration  19: 21582.549 ops/s
Iteration  20: 21559.323 ops/s

# Run progress: 3.33% complete, ETA 00:58:24
# Fork: 4 of 10
# Warmup Iteration   1: 19676.889 ops/s
# Warmup Iteration   2: 20518.177 ops/s
# Warmup Iteration   3: 21034.033 ops/s
# Warmup Iteration   4: 20764.332 ops/s
# Warmup Iteration   5: 21015.932 ops/s
# Warmup Iteration   6: 20893.573 ops/s
# Warmup Iteration   7: 20875.607 ops/s
# Warmup Iteration   8: 21029.073 ops/s
# Warmup Iteration   9: 21053.339 ops/s
# Warmup Iteration  10: 21076.478 ops/s
# Warmup Iteration  11: 21028.056 ops/s
# Warmup Iteration  12: 21002.744 ops/s
# Warmup Iteration  13: 21116.887 ops/s
# Warmup Iteration  14: 20979.644 ops/s
# Warmup Iteration  15: 21113.829 ops/s
# Warmup Iteration  16: 21014.817 ops/s
# Warmup Iteration  17: 21032.428 ops/s
# Warmup Iteration  18: 21149.139 ops/s
# Warmup Iteration  19: 21075.560 ops/s
# Warmup Iteration  20: 21116.152 ops/s
Iteration   1: 21025.081 ops/s
Iteration   2: 21043.578 ops/s
Iteration   3: 21003.995 ops/s
Iteration   4: 21100.177 ops/s
Iteration   5: 21100.725 ops/s
Iteration   6: 21039.106 ops/s
Iteration   7: 21042.308 ops/s
Iteration   8: 21109.728 ops/s
Iteration   9: 21107.555 ops/s
Iteration  10: 21071.090 ops/s
Iteration  11: 20150.072 ops/s
Iteration  12: 20617.399 ops/s
Iteration  13: 21176.871 ops/s
Iteration  14: 16523.300 ops/s
Iteration  15: 21122.657 ops/s
Iteration  16: 21091.944 ops/s
Iteration  17: 20622.952 ops/s
Iteration  18: 21056.748 ops/s
Iteration  19: 21107.474 ops/s
Iteration  20: 21039.193 ops/s

# Run progress: 4.44% complete, ETA 00:57:43
# Fork: 5 of 10
# Warmup Iteration   1: 19788.217 ops/s
# Warmup Iteration   2: 21594.724 ops/s
# Warmup Iteration   3: 21649.671 ops/s
# Warmup Iteration   4: 21643.216 ops/s
# Warmup Iteration   5: 21617.916 ops/s
# Warmup Iteration   6: 21501.574 ops/s
# Warmup Iteration   7: 21574.495 ops/s
# Warmup Iteration   8: 21556.548 ops/s
# Warmup Iteration   9: 21469.723 ops/s
# Warmup Iteration  10: 21526.075 ops/s
# Warmup Iteration  11: 21372.706 ops/s
# Warmup Iteration  12: 21538.192 ops/s
# Warmup Iteration  13: 21552.834 ops/s
# Warmup Iteration  14: 21514.375 ops/s
# Warmup Iteration  15: 21424.914 ops/s
# Warmup Iteration  16: 21405.201 ops/s
# Warmup Iteration  17: 21607.581 ops/s
# Warmup Iteration  18: 21686.410 ops/s
# Warmup Iteration  19: 21638.946 ops/s
# Warmup Iteration  20: 21627.663 ops/s
Iteration   1: 21520.136 ops/s
Iteration   2: 21654.384 ops/s
Iteration   3: 21579.152 ops/s
Iteration   4: 21661.485 ops/s
Iteration   5: 21669.095 ops/s
Iteration   6: 21607.156 ops/s
Iteration   7: 21477.282 ops/s
Iteration   8: 20878.587 ops/s
Iteration   9: 21628.416 ops/s
Iteration  10: 21509.632 ops/s
Iteration  11: 21468.954 ops/s
Iteration  12: 21591.880 ops/s
Iteration  13: 21661.683 ops/s
Iteration  14: 21635.420 ops/s
Iteration  15: 21639.780 ops/s
Iteration  16: 21475.250 ops/s
Iteration  17: 21641.880 ops/s
Iteration  18: 20707.515 ops/s
Iteration  19: 21574.483 ops/s
Iteration  20: 21569.206 ops/s

# Run progress: 5.56% complete, ETA 00:57:03
# Fork: 6 of 10
# Warmup Iteration   1: 19508.963 ops/s
# Warmup Iteration   2: 21108.563 ops/s
# Warmup Iteration   3: 20315.122 ops/s
# Warmup Iteration   4: 21062.582 ops/s
# Warmup Iteration   5: 20766.626 ops/s
# Warmup Iteration   6: 20962.144 ops/s
# Warmup Iteration   7: 21138.224 ops/s
# Warmup Iteration   8: 21154.200 ops/s
# Warmup Iteration   9: 21112.548 ops/s
# Warmup Iteration  10: 21164.684 ops/s
# Warmup Iteration  11: 21033.940 ops/s
# Warmup Iteration  12: 21206.736 ops/s
# Warmup Iteration  13: 21211.262 ops/s
# Warmup Iteration  14: 21148.194 ops/s
# Warmup Iteration  15: 21170.386 ops/s
# Warmup Iteration  16: 21040.624 ops/s
# Warmup Iteration  17: 21039.431 ops/s
# Warmup Iteration  18: 21033.007 ops/s
# Warmup Iteration  19: 20998.512 ops/s
# Warmup Iteration  20: 20981.885 ops/s
Iteration   1: 20793.187 ops/s
Iteration   2: 21058.727 ops/s
Iteration   3: 20981.378 ops/s
Iteration   4: 21018.976 ops/s
Iteration   5: 20981.740 ops/s
Iteration   6: 20866.891 ops/s
Iteration   7: 21049.432 ops/s
Iteration   8: 20994.180 ops/s
Iteration   9: 21000.056 ops/s
Iteration  10: 20977.764 ops/s
Iteration  11: 20901.224 ops/s
Iteration  12: 21029.011 ops/s
Iteration  13: 21075.465 ops/s
Iteration  14: 21025.500 ops/s
Iteration  15: 20966.830 ops/s
Iteration  16: 20479.954 ops/s
Iteration  17: 21085.991 ops/s
Iteration  18: 20998.788 ops/s
Iteration  19: 21040.536 ops/s
Iteration  20: 20993.797 ops/s

# Run progress: 6.67% complete, ETA 00:56:22
# Fork: 7 of 10
# Warmup Iteration   1: 19052.997 ops/s
# Warmup Iteration   2: 20764.496 ops/s
# Warmup Iteration   3: 21097.125 ops/s
# Warmup Iteration   4: 20527.140 ops/s
# Warmup Iteration   5: 20959.705 ops/s
# Warmup Iteration   6: 20943.683 ops/s
# Warmup Iteration   7: 21121.414 ops/s
# Warmup Iteration   8: 20395.744 ops/s
# Warmup Iteration   9: 21018.608 ops/s
# Warmup Iteration  10: 20989.292 ops/s
# Warmup Iteration  11: 20771.525 ops/s
# Warmup Iteration  12: 21024.542 ops/s
# Warmup Iteration  13: 20624.307 ops/s
# Warmup Iteration  14: 21010.928 ops/s
# Warmup Iteration  15: 20943.407 ops/s
# Warmup Iteration  16: 20847.589 ops/s
# Warmup Iteration  17: 21158.265 ops/s
# Warmup Iteration  18: 21137.966 ops/s
# Warmup Iteration  19: 20986.134 ops/s
# Warmup Iteration  20: 21096.738 ops/s
Iteration   1: 20946.069 ops/s
Iteration   2: 21150.066 ops/s
Iteration   3: 20788.371 ops/s
Iteration   4: 21036.203 ops/s
Iteration   5: 21133.581 ops/s
Iteration   6: 20990.190 ops/s
Iteration   7: 21084.152 ops/s
Iteration   8: 21094.689 ops/s
Iteration   9: 21137.280 ops/s
Iteration  10: 21050.076 ops/s
Iteration  11: 20985.786 ops/s
Iteration  12: 21132.348 ops/s
Iteration  13: 21124.860 ops/s
Iteration  14: 20700.100 ops/s
Iteration  15: 21109.229 ops/s
Iteration  16: 20999.242 ops/s
Iteration  17: 21147.770 ops/s
Iteration  18: 21119.964 ops/s
Iteration  19: 20737.973 ops/s
Iteration  20: 21107.068 ops/s

# Run progress: 7.78% complete, ETA 00:55:42
# Fork: 8 of 10
# Warmup Iteration   1: 15743.022 ops/s
# Warmup Iteration   2: 16261.773 ops/s
# Warmup Iteration   3: 16260.312 ops/s
# Warmup Iteration   4: 16052.146 ops/s
# Warmup Iteration   5: 16419.301 ops/s
# Warmup Iteration   6: 16356.366 ops/s
# Warmup Iteration   7: 16295.040 ops/s
# Warmup Iteration   8: 16446.576 ops/s
# Warmup Iteration   9: 16486.014 ops/s
# Warmup Iteration  10: 16389.325 ops/s
# Warmup Iteration  11: 16455.109 ops/s
# Warmup Iteration  12: 16529.415 ops/s
# Warmup Iteration  13: 16532.784 ops/s
# Warmup Iteration  14: 16505.223 ops/s
# Warmup Iteration  15: 16380.816 ops/s
# Warmup Iteration  16: 16474.790 ops/s
# Warmup Iteration  17: 16430.614 ops/s
# Warmup Iteration  18: 16371.324 ops/s
# Warmup Iteration  19: 16427.349 ops/s
# Warmup Iteration  20: 16349.969 ops/s
Iteration   1: 16368.041 ops/s
Iteration   2: 16420.281 ops/s
Iteration   3: 16355.590 ops/s
Iteration   4: 16431.948 ops/s
Iteration   5: 16327.139 ops/s
Iteration   6: 16394.237 ops/s
Iteration   7: 16427.771 ops/s
Iteration   8: 16420.049 ops/s
Iteration   9: 16402.763 ops/s
Iteration  10: 16305.534 ops/s
Iteration  11: 16340.287 ops/s
Iteration  12: 16411.226 ops/s
Iteration  13: 16344.739 ops/s
Iteration  14: 16031.157 ops/s
Iteration  15: 16331.166 ops/s
Iteration  16: 16379.971 ops/s
Iteration  17: 16111.293 ops/s
Iteration  18: 16407.171 ops/s
Iteration  19: 16388.026 ops/s
Iteration  20: 16322.849 ops/s

# Run progress: 8.89% complete, ETA 00:55:01
# Fork: 9 of 10
# Warmup Iteration   1: 19413.178 ops/s
# Warmup Iteration   2: 20231.360 ops/s
# Warmup Iteration   3: 20861.134 ops/s
# Warmup Iteration   4: 20884.318 ops/s
# Warmup Iteration   5: 20818.487 ops/s
# Warmup Iteration   6: 20856.240 ops/s
# Warmup Iteration   7: 20867.022 ops/s
# Warmup Iteration   8: 20817.349 ops/s
# Warmup Iteration   9: 20912.037 ops/s
# Warmup Iteration  10: 20774.128 ops/s
# Warmup Iteration  11: 20937.011 ops/s
# Warmup Iteration  12: 20933.073 ops/s
# Warmup Iteration  13: 20923.607 ops/s
# Warmup Iteration  14: 20907.105 ops/s
# Warmup Iteration  15: 20756.792 ops/s
# Warmup Iteration  16: 20940.420 ops/s
# Warmup Iteration  17: 20775.677 ops/s
# Warmup Iteration  18: 20749.332 ops/s
# Warmup Iteration  19: 20703.473 ops/s
