# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 16460.302 ops/s
# Warmup Iteration   2: 16802.999 ops/s
# Warmup Iteration   3: 17166.604 ops/s
# Warmup Iteration   4: 17153.617 ops/s
# Warmup Iteration   5: 17254.999 ops/s
# Warmup Iteration   6: 17196.833 ops/s
# Warmup Iteration   7: 17090.698 ops/s
# Warmup Iteration   8: 17268.671 ops/s
# Warmup Iteration   9: 17186.942 ops/s
# Warmup Iteration  10: 17313.286 ops/s
# Warmup Iteration  11: 17261.341 ops/s
# Warmup Iteration  12: 15649.155 ops/s
# Warmup Iteration  13: 17292.380 ops/s
# Warmup Iteration  14: 17288.509 ops/s
# Warmup Iteration  15: 17297.442 ops/s
# Warmup Iteration  16: 17276.038 ops/s
# Warmup Iteration  17: 16547.067 ops/s
# Warmup Iteration  18: 16665.975 ops/s
# Warmup Iteration  19: 16662.075 ops/s
# Warmup Iteration  20: 16656.137 ops/s
Iteration   1: 16637.815 ops/s
Iteration   2: 16538.651 ops/s
Iteration   3: 16675.621 ops/s
Iteration   4: 16192.491 ops/s
Iteration   5: 16575.988 ops/s
Iteration   6: 16639.048 ops/s
Iteration   7: 16522.462 ops/s
Iteration   8: 16164.375 ops/s
Iteration   9: 16659.130 ops/s
Iteration  10: 16657.962 ops/s
Iteration  11: 16276.395 ops/s
Iteration  12: 16513.905 ops/s
Iteration  13: 16640.880 ops/s
Iteration  14: 16618.037 ops/s
Iteration  15: 16653.417 ops/s
Iteration  16: 16557.076 ops/s
Iteration  17: 16540.647 ops/s
Iteration  18: 16671.129 ops/s
Iteration  19: 16662.696 ops/s
Iteration  20: 16612.565 ops/s

# Run progress: 1.11% complete, ETA 00:59:51
# Fork: 2 of 10
# Warmup Iteration   1: 14570.350 ops/s
# Warmup Iteration   2: 15180.206 ops/s
# Warmup Iteration   3: 15375.542 ops/s
# Warmup Iteration   4: 15035.243 ops/s
# Warmup Iteration   5: 15312.025 ops/s
# Warmup Iteration   6: 15414.499 ops/s
# Warmup Iteration   7: 15273.926 ops/s
# Warmup Iteration   8: 15472.306 ops/s
# Warmup Iteration   9: 15448.174 ops/s
# Warmup Iteration  10: 15459.923 ops/s
# Warmup Iteration  11: 15483.799 ops/s
# Warmup Iteration  12: 15366.626 ops/s
# Warmup Iteration  13: 15499.654 ops/s
# Warmup Iteration  14: 15481.706 ops/s
# Warmup Iteration  15: 15475.062 ops/s
# Warmup Iteration  16: 15421.917 ops/s
# Warmup Iteration  17: 15411.847 ops/s
# Warmup Iteration  18: 15473.951 ops/s
# Warmup Iteration  19: 15435.320 ops/s
# Warmup Iteration  20: 15490.411 ops/s
Iteration   1: 15478.168 ops/s
Iteration   2: 15407.988 ops/s
Iteration   3: 15447.889 ops/s
Iteration   4: 15444.709 ops/s
Iteration   5: 15479.264 ops/s
Iteration   6: 15460.289 ops/s
Iteration   7: 15428.044 ops/s
Iteration   8: 15194.245 ops/s
Iteration   9: 15454.657 ops/s
Iteration  10: 15480.749 ops/s
Iteration  11: 15401.139 ops/s
Iteration  12: 15326.416 ops/s
Iteration  13: 15483.900 ops/s
Iteration  14: 15451.930 ops/s
Iteration  15: 15430.136 ops/s
Iteration  16: 15199.137 ops/s
Iteration  17: 15197.991 ops/s
Iteration  18: 15468.020 ops/s
Iteration  19: 15467.486 ops/s
Iteration  20: 15472.998 ops/s

# Run progress: 2.22% complete, ETA 00:59:06
# Fork: 3 of 10
# Warmup Iteration   1: 19441.408 ops/s
# Warmup Iteration   2: 21043.554 ops/s
# Warmup Iteration   3: 21026.988 ops/s
# Warmup Iteration   4: 20966.757 ops/s
# Warmup Iteration   5: 21185.280 ops/s
# Warmup Iteration   6: 21105.840 ops/s
# Warmup Iteration   7: 20930.026 ops/s
# Warmup Iteration   8: 21021.539 ops/s
# Warmup Iteration   9: 21014.660 ops/s
# Warmup Iteration  10: 21033.557 ops/s
# Warmup Iteration  11: 20992.187 ops/s
# Warmup Iteration  12: 20825.549 ops/s
# Warmup Iteration  13: 21050.289 ops/s
# Warmup Iteration  14: 20986.166 ops/s
# Warmup Iteration  15: 20970.043 ops/s
# Warmup Iteration  16: 20662.392 ops/s
# Warmup Iteration  17: 20474.369 ops/s
# Warmup Iteration  18: 21035.514 ops/s
# Warmup Iteration  19: 20965.222 ops/s
# Warmup Iteration  20: 21023.272 ops/s
Iteration   1: 20997.749 ops/s
Iteration   2: 20720.897 ops/s
Iteration   3: 21048.289 ops/s
Iteration   4: 21030.646 ops/s
Iteration   5: 21053.265 ops/s
Iteration   6: 20981.513 ops/s
Iteration   7: 20836.463 ops/s
Iteration   8: 20912.342 ops/s
Iteration   9: 21015.520 ops/s
Iteration  10: 20977.142 ops/s
Iteration  11: 20729.525 ops/s
Iteration  12: 20811.785 ops/s
Iteration  13: 20737.275 ops/s
Iteration  14: 21053.459 ops/s
Iteration  15: 19192.320 ops/s
Iteration  16: 21039.663 ops/s
Iteration  17: 20734.265 ops/s
Iteration  18: 17057.873 ops/s
Iteration  19: 21085.479 ops/s
Iteration  20: 21076.216 ops/s

# Run progress: 3.33% complete, ETA 00:58:25
# Fork: 4 of 10
# Warmup Iteration   1: 18045.749 ops/s
