# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 20178.199 ops/s
# Warmup Iteration   2: 21844.211 ops/s
# Warmup Iteration   3: 21567.941 ops/s
# Warmup Iteration   4: 21742.977 ops/s
# Warmup Iteration   5: 21975.448 ops/s
# Warmup Iteration   6: 21506.262 ops/s
# Warmup Iteration   7: 21952.249 ops/s
# Warmup Iteration   8: 21989.796 ops/s
# Warmup Iteration   9: 21959.542 ops/s
# Warmup Iteration  10: 22000.372 ops/s
# Warmup Iteration  11: 21838.813 ops/s
# Warmup Iteration  12: 22021.488 ops/s
# Warmup Iteration  13: 21957.292 ops/s
# Warmup Iteration  14: 22007.549 ops/s
# Warmup Iteration  15: 21994.418 ops/s
# Warmup Iteration  16: 21878.559 ops/s
# Warmup Iteration  17: 21737.108 ops/s
# Warmup Iteration  18: 21686.066 ops/s
# Warmup Iteration  19: 21695.918 ops/s
# Warmup Iteration  20: 21671.605 ops/s
Iteration   1: 21536.514 ops/s
Iteration   2: 21667.767 ops/s
Iteration   3: 21695.514 ops/s
Iteration   4: 21680.144 ops/s
Iteration   5: 21639.419 ops/s
Iteration   6: 21540.403 ops/s
Iteration   7: 21664.656 ops/s
Iteration   8: 21625.553 ops/s
Iteration   9: 21660.148 ops/s
Iteration  10: 21674.543 ops/s
Iteration  11: 21526.713 ops/s
Iteration  12: 21678.188 ops/s
Iteration  13: 21688.016 ops/s
Iteration  14: 21670.883 ops/s
Iteration  15: 21660.214 ops/s
Iteration  16: 21504.570 ops/s
Iteration  17: 21666.970 ops/s
Iteration  18: 21686.558 ops/s
Iteration  19: 21647.134 ops/s
Iteration  20: 21605.320 ops/s

# Run progress: 1.11% complete, ETA 00:59:48
# Fork: 2 of 10
# Warmup Iteration   1: 14719.114 ops/s
# Warmup Iteration   2: 15327.575 ops/s
# Warmup Iteration   3: 15410.633 ops/s
# Warmup Iteration   4: 15510.667 ops/s
# Warmup Iteration   5: 15404.194 ops/s
# Warmup Iteration   6: 15502.026 ops/s
# Warmup Iteration   7: 15481.906 ops/s
# Warmup Iteration   8: 15454.972 ops/s
# Warmup Iteration   9: 15479.374 ops/s
# Warmup Iteration  10: 15451.972 ops/s
# Warmup Iteration  11: 13374.424 ops/s
# Warmup Iteration  12: 15513.340 ops/s
# Warmup Iteration  13: 15482.424 ops/s
# Warmup Iteration  14: 15489.949 ops/s
# Warmup Iteration  15: 15485.529 ops/s
# Warmup Iteration  16: 15463.670 ops/s
# Warmup Iteration  17: 15474.443 ops/s
# Warmup Iteration  18: 15461.863 ops/s
# Warmup Iteration  19: 15451.245 ops/s
# Warmup Iteration  20: 15138.438 ops/s
Iteration   1: 15461.493 ops/s
Iteration   2: 15464.374 ops/s
Iteration   3: 15467.322 ops/s
Iteration   4: 15444.760 ops/s
Iteration   5: 15325.364 ops/s
Iteration   6: 15458.418 ops/s
Iteration   7: 15430.015 ops/s
Iteration   8: 15472.766 ops/s
Iteration   9: 15441.119 ops/s
Iteration  10: 15354.588 ops/s
Iteration  11: 15473.305 ops/s
Iteration  12: 15461.701 ops/s
Iteration  13: 15440.320 ops/s
Iteration  14: 15415.293 ops/s
Iteration  15: 15331.385 ops/s
Iteration  16: 15459.132 ops/s
Iteration  17: 15458.394 ops/s
Iteration  18: 15455.221 ops/s
Iteration  19: 15434.341 ops/s
Iteration  20: 15352.627 ops/s

# Run progress: 2.22% complete, ETA 00:59:05
# Fork: 3 of 10
# Warmup Iteration   1: 20200.445 ops/s
# Warmup Iteration   2: 22008.302 ops/s
# Warmup Iteration   3: 21462.107 ops/s
# Warmup Iteration   4: 22092.747 ops/s
# Warmup Iteration   5: 21944.953 ops/s
# Warmup Iteration   6: 22062.669 ops/s
# Warmup Iteration   7: 21422.526 ops/s
# Warmup Iteration   8: 22087.768 ops/s
# Warmup Iteration   9: 22112.378 ops/s
# Warmup Iteration  10: 20632.551 ops/s
# Warmup Iteration  11: 22175.930 ops/s
# Warmup Iteration  12: 22196.157 ops/s
# Warmup Iteration  13: 22190.683 ops/s
# Warmup Iteration  14: 22135.556 ops/s
# Warmup Iteration  15: 21229.137 ops/s
# Warmup Iteration  16: 22146.229 ops/s
# Warmup Iteration  17: 22116.640 ops/s
# Warmup Iteration  18: 22118.175 ops/s
# Warmup Iteration  19: 21233.915 ops/s
# Warmup Iteration  20: 21923.123 ops/s
Iteration   1: 22115.073 ops/s
Iteration   2: 20720.170 ops/s
Iteration   3: 21125.569 ops/s
Iteration   4: 22093.530 ops/s
Iteration   5: 21865.636 ops/s
Iteration   6: 21675.398 ops/s
Iteration   7: 22086.911 ops/s
Iteration   8: 22080.534 ops/s
Iteration   9: 22060.152 ops/s
Iteration  10: 21878.544 ops/s
Iteration  11: 22066.120 ops/s
Iteration  12: 22094.633 ops/s
Iteration  13: 22082.984 ops/s
Iteration  14: 22064.074 ops/s
Iteration  15: 20997.289 ops/s
Iteration  16: 22071.160 ops/s
Iteration  17: 22074.397 ops/s
Iteration  18: 22082.624 ops/s
Iteration  19: 22062.164 ops/s
Iteration  20: 21893.927 ops/s

# Run progress: 3.33% complete, ETA 00:58:24
# Fork: 4 of 10
# Warmup Iteration   1: 20109.499 ops/s
# Warmup Iteration   2: 21949.633 ops/s
# Warmup Iteration   3: 21800.109 ops/s
# Warmup Iteration   4: 21972.254 ops/s
# Warmup Iteration   5: 21977.601 ops/s
# Warmup Iteration   6: 21728.161 ops/s
# Warmup Iteration   7: 22039.868 ops/s
# Warmup Iteration   8: 22080.328 ops/s
# Warmup Iteration   9: 22119.411 ops/s
# Warmup Iteration  10: 22107.512 ops/s
