# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 20222.966 ops/s
# Warmup Iteration   2: 21118.538 ops/s
# Warmup Iteration   3: 21290.023 ops/s
# Warmup Iteration   4: 21307.121 ops/s
# Warmup Iteration   5: 21291.502 ops/s
# Warmup Iteration   6: 21206.560 ops/s
# Warmup Iteration   7: 21174.027 ops/s
# Warmup Iteration   8: 21262.378 ops/s
# Warmup Iteration   9: 21247.440 ops/s
# Warmup Iteration  10: 21317.576 ops/s
# Warmup Iteration  11: 21261.808 ops/s
# Warmup Iteration  12: 21267.643 ops/s
# Warmup Iteration  13: 21240.254 ops/s
# Warmup Iteration  14: 21255.499 ops/s
# Warmup Iteration  15: 21283.165 ops/s
# Warmup Iteration  16: 21264.493 ops/s
# Warmup Iteration  17: 21065.561 ops/s
# Warmup Iteration  18: 20966.547 ops/s
# Warmup Iteration  19: 21085.275 ops/s
# Warmup Iteration  20: 20982.355 ops/s
Iteration   1: 20800.236 ops/s
Iteration   2: 21055.400 ops/s
Iteration   3: 21082.666 ops/s
Iteration   4: 21062.203 ops/s
Iteration   5: 20899.758 ops/s
Iteration   6: 20825.340 ops/s
Iteration   7: 20892.580 ops/s
Iteration   8: 21070.828 ops/s
Iteration   9: 21058.341 ops/s
Iteration  10: 21051.065 ops/s
Iteration  11: 20779.377 ops/s
Iteration  12: 21018.150 ops/s
Iteration  13: 21064.613 ops/s
Iteration  14: 21064.838 ops/s
Iteration  15: 21044.130 ops/s
Iteration  16: 20914.483 ops/s
Iteration  17: 20987.410 ops/s
Iteration  18: 20950.896 ops/s
Iteration  19: 21095.089 ops/s
Iteration  20: 21002.162 ops/s

# Run progress: 1.11% complete, ETA 00:59:50
# Fork: 2 of 10
# Warmup Iteration   1: 19718.128 ops/s
# Warmup Iteration   2: 20983.040 ops/s
# Warmup Iteration   3: 20986.485 ops/s
# Warmup Iteration   4: 20400.172 ops/s
# Warmup Iteration   5: 20794.221 ops/s
# Warmup Iteration   6: 21013.946 ops/s
# Warmup Iteration   7: 21084.026 ops/s
# Warmup Iteration   8: 21063.824 ops/s
# Warmup Iteration   9: 21134.540 ops/s
# Warmup Iteration  10: 21128.337 ops/s
# Warmup Iteration  11: 20876.117 ops/s
# Warmup Iteration  12: 21154.461 ops/s
# Warmup Iteration  13: 21166.508 ops/s
