# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 16537.533 ops/s
# Warmup Iteration   2: 17053.794 ops/s
# Warmup Iteration   3: 17233.117 ops/s
# Warmup Iteration   4: 17360.272 ops/s
# Warmup Iteration   5: 17364.601 ops/s
# Warmup Iteration   6: 17381.117 ops/s
# Warmup Iteration   7: 17387.987 ops/s
# Warmup Iteration   8: 17388.121 ops/s
# Warmup Iteration   9: 17393.302 ops/s
# Warmup Iteration  10: 17434.758 ops/s
# Warmup Iteration  11: 17408.490 ops/s
# Warmup Iteration  12: 17415.471 ops/s
# Warmup Iteration  13: 17413.420 ops/s
# Warmup Iteration  14: 17415.866 ops/s
# Warmup Iteration  15: 17417.526 ops/s
# Warmup Iteration  16: 17421.002 ops/s
# Warmup Iteration  17: 17423.697 ops/s
# Warmup Iteration  18: 17417.551 ops/s
# Warmup Iteration  19: 17419.931 ops/s
# Warmup Iteration  20: 17434.892 ops/s
Iteration   1: 16329.752 ops/s
Iteration   2: 17425.184 ops/s
Iteration   3: 17428.284 ops/s
Iteration   4: 17429.025 ops/s
Iteration   5: 17418.870 ops/s
Iteration   6: 17429.002 ops/s
Iteration   7: 16624.673 ops/s
Iteration   8: 17428.115 ops/s
Iteration   9: 17419.436 ops/s
Iteration  10: 17420.712 ops/s
Iteration  11: 17419.197 ops/s
Iteration  12: 17408.522 ops/s
Iteration  13: 17415.628 ops/s
Iteration  14: 17419.125 ops/s
Iteration  15: 17426.147 ops/s
Iteration  16: 17429.293 ops/s
Iteration  17: 17416.548 ops/s
Iteration  18: 17430.125 ops/s
Iteration  19: 17421.396 ops/s
Iteration  20: 17405.092 ops/s

# Run progress: 1.11% complete, ETA 00:59:50
# Fork: 2 of 10
# Warmup Iteration   1: 16219.168 ops/s
# Warmup Iteration   2: 17125.626 ops/s
# Warmup Iteration   3: 17269.878 ops/s
# Warmup Iteration   4: 17252.690 ops/s
# Warmup Iteration   5: 16903.909 ops/s
# Warmup Iteration   6: 17290.973 ops/s
# Warmup Iteration   7: 17295.718 ops/s
# Warmup Iteration   8: 17301.956 ops/s
# Warmup Iteration   9: 17304.847 ops/s
# Warmup Iteration  10: 17335.940 ops/s
# Warmup Iteration  11: 17318.770 ops/s
# Warmup Iteration  12: 17325.236 ops/s
# Warmup Iteration  13: 17317.190 ops/s
# Warmup Iteration  14: 17320.873 ops/s
# Warmup Iteration  15: 17320.163 ops/s
# Warmup Iteration  16: 17322.882 ops/s
# Warmup Iteration  17: 17212.960 ops/s
# Warmup Iteration  18: 17235.907 ops/s
# Warmup Iteration  19: 17212.688 ops/s
# Warmup Iteration  20: 17223.428 ops/s
Iteration   1: 17217.325 ops/s
Iteration   2: 17183.982 ops/s
Iteration   3: 17223.809 ops/s
Iteration   4: 17230.495 ops/s
Iteration   5: 17209.191 ops/s
Iteration   6: 17214.051 ops/s
Iteration   7: 17212.400 ops/s
Iteration   8: 17215.074 ops/s
Iteration   9: 17216.055 ops/s
Iteration  10: 17222.867 ops/s
Iteration  11: 17224.815 ops/s
Iteration  12: 17214.616 ops/s
Iteration  13: 17202.651 ops/s
Iteration  14: 17216.287 ops/s
Iteration  15: 17221.784 ops/s
Iteration  16: 17211.899 ops/s
Iteration  17: 17222.758 ops/s
Iteration  18: 17215.028 ops/s
Iteration  19: 17228.028 ops/s
Iteration  20: 17210.220 ops/s

# Run progress: 2.22% complete, ETA 00:59:05
# Fork: 3 of 10
# Warmup Iteration   1: 16587.333 ops/s
# Warmup Iteration   2: 17272.511 ops/s
# Warmup Iteration   3: 17351.206 ops/s
# Warmup Iteration   4: 17369.366 ops/s
# Warmup Iteration   5: 17372.330 ops/s
# Warmup Iteration   6: 17410.011 ops/s
# Warmup Iteration   7: 17368.658 ops/s
# Warmup Iteration   8: 17379.373 ops/s
# Warmup Iteration   9: 17375.867 ops/s
# Warmup Iteration  10: 17388.580 ops/s
# Warmup Iteration  11: 17390.496 ops/s
# Warmup Iteration  12: 17385.475 ops/s
# Warmup Iteration  13: 17380.783 ops/s
# Warmup Iteration  14: 17382.042 ops/s
# Warmup Iteration  15: 17388.186 ops/s
# Warmup Iteration  16: 17373.888 ops/s
# Warmup Iteration  17: 17045.698 ops/s
# Warmup Iteration  18: 17041.038 ops/s
# Warmup Iteration  19: 17046.654 ops/s
# Warmup Iteration  20: 17056.495 ops/s
Iteration   1: 16881.706 ops/s
Iteration   2: 17048.214 ops/s
Iteration   3: 17047.921 ops/s
Iteration   4: 17035.973 ops/s
Iteration   5: 17053.059 ops/s
Iteration   6: 17042.518 ops/s
Iteration   7: 17055.977 ops/s
Iteration   8: 17055.762 ops/s
Iteration   9: 17049.435 ops/s
Iteration  10: 17044.804 ops/s
Iteration  11: 17043.309 ops/s
Iteration  12: 17040.949 ops/s
Iteration  13: 17040.043 ops/s
Iteration  14: 17048.513 ops/s
Iteration  15: 17043.348 ops/s
Iteration  16: 17064.440 ops/s
Iteration  17: 17046.079 ops/s
Iteration  18: 17034.172 ops/s
Iteration  19: 17042.607 ops/s
Iteration  20: 17036.965 ops/s

# Run progress: 3.33% complete, ETA 00:58:24
# Fork: 4 of 10
# Warmup Iteration   1: 15767.373 ops/s
# Warmup Iteration   2: 16573.597 ops/s
# Warmup Iteration   3: 16635.302 ops/s
# Warmup Iteration   4: 16638.167 ops/s
# Warmup Iteration   5: 16732.058 ops/s
# Warmup Iteration   6: 16402.407 ops/s
# Warmup Iteration   7: 16333.636 ops/s
# Warmup Iteration   8: 16677.435 ops/s
# Warmup Iteration   9: 16738.731 ops/s
# Warmup Iteration  10: 16721.869 ops/s
# Warmup Iteration  11: 16742.161 ops/s
# Warmup Iteration  12: 16741.894 ops/s
# Warmup Iteration  13: 16734.572 ops/s
# Warmup Iteration  14: 16745.201 ops/s
# Warmup Iteration  15: 16743.199 ops/s
# Warmup Iteration  16: 16740.640 ops/s
# Warmup Iteration  17: 16732.463 ops/s
# Warmup Iteration  18: 16732.530 ops/s
# Warmup Iteration  19: 16730.482 ops/s
# Warmup Iteration  20: 16731.634 ops/s
Iteration   1: 16728.745 ops/s
Iteration   2: 16726.266 ops/s
Iteration   3: 16733.232 ops/s
Iteration   4: 16736.790 ops/s
Iteration   5: 16725.543 ops/s
Iteration   6: 16731.221 ops/s
Iteration   7: 16730.025 ops/s
Iteration   8: 16730.129 ops/s
Iteration   9: 16731.986 ops/s
Iteration  10: 16734.475 ops/s
Iteration  11: 16104.426 ops/s
Iteration  12: 16724.751 ops/s
Iteration  13: 16737.059 ops/s
Iteration  14: 16729.944 ops/s
Iteration  15: 16721.377 ops/s
Iteration  16: 16742.931 ops/s
Iteration  17: 16728.670 ops/s
Iteration  18: 16729.405 ops/s
Iteration  19: 16733.617 ops/s
Iteration  20: 16727.504 ops/s

# Run progress: 4.44% complete, ETA 00:57:43
# Fork: 5 of 10
# Warmup Iteration   1: 12497.772 ops/s
# Warmup Iteration   2: 12873.575 ops/s
# Warmup Iteration   3: 12889.989 ops/s
# Warmup Iteration   4: 13029.317 ops/s
# Warmup Iteration   5: 13025.024 ops/s
# Warmup Iteration   6: 13061.185 ops/s
# Warmup Iteration   7: 13058.975 ops/s
# Warmup Iteration   8: 13073.830 ops/s
# Warmup Iteration   9: 12944.851 ops/s
# Warmup Iteration  10: 13074.751 ops/s
