# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 16008.286 ops/s
# Warmup Iteration   2: 17192.836 ops/s
# Warmup Iteration   3: 17345.018 ops/s
# Warmup Iteration   4: 17357.798 ops/s
# Warmup Iteration   5: 17367.406 ops/s
# Warmup Iteration   6: 17401.878 ops/s
# Warmup Iteration   7: 17227.548 ops/s
# Warmup Iteration   8: 17302.013 ops/s
# Warmup Iteration   9: 17384.477 ops/s
# Warmup Iteration  10: 17414.663 ops/s
# Warmup Iteration  11: 17404.810 ops/s
# Warmup Iteration  12: 17403.194 ops/s
# Warmup Iteration  13: 17405.255 ops/s
# Warmup Iteration  14: 17407.943 ops/s
# Warmup Iteration  15: 17395.865 ops/s
# Warmup Iteration  16: 17421.555 ops/s
# Warmup Iteration  17: 17405.888 ops/s
# Warmup Iteration  18: 17411.573 ops/s
# Warmup Iteration  19: 17401.293 ops/s
# Warmup Iteration  20: 17408.230 ops/s
Iteration   1: 17384.378 ops/s
Iteration   2: 17416.360 ops/s
Iteration   3: 17404.155 ops/s
Iteration   4: 17417.619 ops/s
Iteration   5: 17405.474 ops/s
Iteration   6: 17411.256 ops/s
Iteration   7: 17409.467 ops/s
Iteration   8: 17413.097 ops/s
Iteration   9: 17418.587 ops/s
Iteration  10: 17414.313 ops/s
Iteration  11: 17411.255 ops/s
Iteration  12: 17394.022 ops/s
Iteration  13: 17402.601 ops/s
Iteration  14: 17406.971 ops/s
Iteration  15: 17409.966 ops/s
Iteration  16: 17389.054 ops/s
Iteration  17: 17398.567 ops/s
Iteration  18: 17266.105 ops/s
Iteration  19: 17410.848 ops/s
Iteration  20: 17394.158 ops/s

# Run progress: 1.11% complete, ETA 00:59:49
# Fork: 2 of 10
# Warmup Iteration   1: 11866.554 ops/s
# Warmup Iteration   2: 12093.627 ops/s
# Warmup Iteration   3: 12276.611 ops/s
# Warmup Iteration   4: 12262.282 ops/s
# Warmup Iteration   5: 12281.230 ops/s
# Warmup Iteration   6: 12123.065 ops/s
# Warmup Iteration   7: 12274.533 ops/s
# Warmup Iteration   8: 12244.284 ops/s
# Warmup Iteration   9: 12250.857 ops/s
# Warmup Iteration  10: 12282.623 ops/s
# Warmup Iteration  11: 12179.945 ops/s
# Warmup Iteration  12: 12045.577 ops/s
# Warmup Iteration  13: 12149.547 ops/s
# Warmup Iteration  14: 12273.751 ops/s
# Warmup Iteration  15: 12265.833 ops/s
# Warmup Iteration  16: 12264.809 ops/s
# Warmup Iteration  17: 12201.806 ops/s
# Warmup Iteration  18: 12192.708 ops/s
# Warmup Iteration  19: 12198.959 ops/s
# Warmup Iteration  20: 12191.064 ops/s
Iteration   1: 12192.410 ops/s
Iteration   2: 12198.133 ops/s
Iteration   3: 12192.513 ops/s
Iteration   4: 12186.669 ops/s
Iteration   5: 12190.336 ops/s
Iteration   6: 12190.862 ops/s
Iteration   7: 12190.960 ops/s
Iteration   8: 12196.459 ops/s
Iteration   9: 12193.114 ops/s
Iteration  10: 12189.380 ops/s
Iteration  11: 12200.990 ops/s
Iteration  12: 12190.843 ops/s
Iteration  13: 12189.713 ops/s
Iteration  14: 12193.052 ops/s
Iteration  15: 12202.105 ops/s
Iteration  16: 12193.083 ops/s
Iteration  17: 12191.409 ops/s
Iteration  18: 12191.070 ops/s
Iteration  19: 12200.074 ops/s
Iteration  20: 12193.022 ops/s

# Run progress: 2.22% complete, ETA 00:59:06
# Fork: 3 of 10
# Warmup Iteration   1: 16399.127 ops/s
# Warmup Iteration   2: 17235.313 ops/s
# Warmup Iteration   3: 17318.108 ops/s
# Warmup Iteration   4: 17330.615 ops/s
# Warmup Iteration   5: 17395.938 ops/s
# Warmup Iteration   6: 17053.690 ops/s
# Warmup Iteration   7: 17316.755 ops/s
# Warmup Iteration   8: 17248.880 ops/s
# Warmup Iteration   9: 17365.784 ops/s
# Warmup Iteration  10: 17389.399 ops/s
# Warmup Iteration  11: 17391.905 ops/s
# Warmup Iteration  12: 17380.945 ops/s
# Warmup Iteration  13: 17382.692 ops/s
# Warmup Iteration  14: 17348.811 ops/s
# Warmup Iteration  15: 17373.747 ops/s
