# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 16013.718 ops/s
# Warmup Iteration   2: 16542.505 ops/s
# Warmup Iteration   3: 16695.611 ops/s
# Warmup Iteration   4: 16702.495 ops/s
# Warmup Iteration   5: 15499.479 ops/s
# Warmup Iteration   6: 16725.019 ops/s
# Warmup Iteration   7: 16520.470 ops/s
# Warmup Iteration   8: 16722.350 ops/s
# Warmup Iteration   9: 16852.314 ops/s
# Warmup Iteration  10: 16759.272 ops/s
# Warmup Iteration  11: 16781.262 ops/s
# Warmup Iteration  12: 16756.096 ops/s
# Warmup Iteration  13: 16802.131 ops/s
# Warmup Iteration  14: 16786.515 ops/s
# Warmup Iteration  15: 16808.659 ops/s
# Warmup Iteration  16: 16793.102 ops/s
# Warmup Iteration  17: 16253.977 ops/s
# Warmup Iteration  18: 16260.036 ops/s
# Warmup Iteration  19: 16287.762 ops/s
# Warmup Iteration  20: 16303.475 ops/s
Iteration   1: 16273.426 ops/s
Iteration   2: 16282.778 ops/s
Iteration   3: 16267.547 ops/s
Iteration   4: 16279.542 ops/s
Iteration   5: 16248.227 ops/s
Iteration   6: 16282.798 ops/s
Iteration   7: 16291.044 ops/s
Iteration   8: 16273.128 ops/s
Iteration   9: 16287.620 ops/s
Iteration  10: 16284.178 ops/s
Iteration  11: 16283.633 ops/s
Iteration  12: 16279.299 ops/s
Iteration  13: 16251.231 ops/s
Iteration  14: 16281.812 ops/s
Iteration  15: 16293.012 ops/s
Iteration  16: 16258.239 ops/s
Iteration  17: 16276.394 ops/s
Iteration  18: 16286.956 ops/s
Iteration  19: 16290.236 ops/s
Iteration  20: 16308.256 ops/s

# Run progress: 1.11% complete, ETA 00:59:50
# Fork: 2 of 10
# Warmup Iteration   1: 15755.733 ops/s
# Warmup Iteration   2: 17040.325 ops/s
# Warmup Iteration   3: 17248.472 ops/s
# Warmup Iteration   4: 14311.608 ops/s
# Warmup Iteration   5: 17146.429 ops/s
# Warmup Iteration   6: 17287.111 ops/s
# Warmup Iteration   7: 17289.708 ops/s
# Warmup Iteration   8: 17307.199 ops/s
# Warmup Iteration   9: 17320.581 ops/s
# Warmup Iteration  10: 14167.816 ops/s
# Warmup Iteration  11: 17315.554 ops/s
# Warmup Iteration  12: 17315.788 ops/s
# Warmup Iteration  13: 17317.057 ops/s
