# JMH version: 1.19
# VM version: JDK 1.8.0_131, VM 25.131-b11
# VM invoker: /usr/lib/jvm/java-8-oracle/jre/bin/java
# VM options: <none>
# Warmup: 20 iterations, 1 s each
# Measurement: 20 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: com.github.arnaudroger.re2j.JavaRegex.testCombine

# Run progress: 0.00% complete, ETA 01:00:00
# Fork: 1 of 10
# Warmup Iteration   1: 15786.233 ops/s
# Warmup Iteration   2: 16608.201 ops/s
# Warmup Iteration   3: 16886.232 ops/s
# Warmup Iteration   4: 17277.677 ops/s
# Warmup Iteration   5: 17325.565 ops/s
# Warmup Iteration   6: 17298.371 ops/s
# Warmup Iteration   7: 16558.797 ops/s
# Warmup Iteration   8: 16756.588 ops/s
# Warmup Iteration   9: 17309.621 ops/s
# Warmup Iteration  10: 17343.003 ops/s
# Warmup Iteration  11: 17328.762 ops/s
# Warmup Iteration  12: 17326.462 ops/s
# Warmup Iteration  13: 17323.488 ops/s
# Warmup Iteration  14: 17327.000 ops/s
# Warmup Iteration  15: 17329.290 ops/s
# Warmup Iteration  16: 17332.228 ops/s
# Warmup Iteration  17: 17341.341 ops/s
# Warmup Iteration  18: 17332.958 ops/s
# Warmup Iteration  19: 17329.668 ops/s
# Warmup Iteration  20: 17329.812 ops/s
Iteration   1: 17334.857 ops/s
Iteration   2: 17329.483 ops/s
Iteration   3: 17327.583 ops/s
Iteration   4: 17322.058 ops/s
Iteration   5: 17325.503 ops/s
Iteration   6: 17324.288 ops/s
Iteration   7: 17325.536 ops/s
Iteration   8: 17325.200 ops/s
Iteration   9: 17327.740 ops/s
Iteration  10: 17325.528 ops/s
Iteration  11: 17330.885 ops/s
Iteration  12: 17335.513 ops/s
Iteration  13: 17318.513 ops/s
Iteration  14: 17337.090 ops/s
Iteration  15: 17328.852 ops/s
Iteration  16: 17337.206 ops/s
Iteration  17: 17335.228 ops/s
Iteration  18: 17320.893 ops/s
Iteration  19: 17332.877 ops/s
Iteration  20: 17337.277 ops/s

# Run progress: 1.11% complete, ETA 00:59:50
# Fork: 2 of 10
# Warmup Iteration   1: 16487.577 ops/s
# Warmup Iteration   2: 17238.153 ops/s
# Warmup Iteration   3: 17340.918 ops/s
# Warmup Iteration   4: 17352.689 ops/s
# Warmup Iteration   5: 17413.781 ops/s
# Warmup Iteration   6: 17003.569 ops/s
# Warmup Iteration   7: 17123.508 ops/s
# Warmup Iteration   8: 17018.351 ops/s
# Warmup Iteration   9: 17356.272 ops/s
# Warmup Iteration  10: 17014.640 ops/s
# Warmup Iteration  11: 16990.365 ops/s
# Warmup Iteration  12: 17022.476 ops/s
# Warmup Iteration  13: 17029.952 ops/s
# Warmup Iteration  14: 17025.651 ops/s
# Warmup Iteration  15: 17024.628 ops/s
# Warmup Iteration  16: 17028.022 ops/s
# Warmup Iteration  17: 17426.661 ops/s
# Warmup Iteration  18: 17423.562 ops/s
# Warmup Iteration  19: 17425.068 ops/s
# Warmup Iteration  20: 17418.826 ops/s
Iteration   1: 17424.486 ops/s
Iteration   2: 17414.732 ops/s
Iteration   3: 17398.271 ops/s
Iteration   4: 17376.658 ops/s
Iteration   5: 17401.924 ops/s
Iteration   6: 17420.890 ops/s
Iteration   7: 17425.903 ops/s
Iteration   8: 17416.212 ops/s
Iteration   9: 17413.881 ops/s
Iteration  10: 17423.715 ops/s
Iteration  11: 17423.071 ops/s
Iteration  12: 17418.040 ops/s
Iteration  13: 17408.715 ops/s
Iteration  14: 17419.129 ops/s
Iteration  15: 17418.391 ops/s
Iteration  16: 17419.159 ops/s
Iteration  17: 17404.707 ops/s
Iteration  18: 17422.799 ops/s
Iteration  19: 17417.298 ops/s
Iteration  20: 17410.028 ops/s

# Run progress: 2.22% complete, ETA 00:59:07
# Fork: 3 of 10
# Warmup Iteration   1: 16437.771 ops/s
# Warmup Iteration   2: 17280.476 ops/s
# Warmup Iteration   3: 17339.464 ops/s
# Warmup Iteration   4: 17346.015 ops/s
# Warmup Iteration   5: 17345.897 ops/s
# Warmup Iteration   6: 17361.185 ops/s
# Warmup Iteration   7: 17335.697 ops/s
# Warmup Iteration   8: 17332.044 ops/s
# Warmup Iteration   9: 17370.475 ops/s
# Warmup Iteration  10: 17395.454 ops/s
# Warmup Iteration  11: 17384.003 ops/s
# Warmup Iteration  12: 17403.333 ops/s
# Warmup Iteration  13: 17402.295 ops/s
# Warmup Iteration  14: 17417.537 ops/s
# Warmup Iteration  15: 17414.671 ops/s
# Warmup Iteration  16: 17398.849 ops/s
# Warmup Iteration  17: 17310.251 ops/s
# Warmup Iteration  18: 17312.239 ops/s
# Warmup Iteration  19: 17331.433 ops/s
# Warmup Iteration  20: 17328.686 ops/s
Iteration   1: 17326.051 ops/s
Iteration   2: 17327.978 ops/s
Iteration   3: 17323.789 ops/s
Iteration   4: 17322.998 ops/s
Iteration   5: 17319.908 ops/s
Iteration   6: 17318.056 ops/s
Iteration   7: 17323.180 ops/s
Iteration   8: 17323.099 ops/s
Iteration   9: 17321.767 ops/s
Iteration  10: 17332.978 ops/s
Iteration  11: 17327.268 ops/s
Iteration  12: 17276.791 ops/s
Iteration  13: 17314.080 ops/s
Iteration  14: 17322.534 ops/s
Iteration  15: 17324.136 ops/s
Iteration  16: 17321.674 ops/s
Iteration  17: 17300.629 ops/s
Iteration  18: 17302.186 ops/s
Iteration  19: 17315.974 ops/s
Iteration  20: 17319.304 ops/s

# Run progress: 3.33% complete, ETA 00:58:25
# Fork: 4 of 10
# Warmup Iteration   1: 16436.540 ops/s
